u,v,key,osmid,oneway,name,highway,reversed,length,ebc,vulnerability,lanes,geometry,maxspeed,bridge,ref,junction
1437698186,5329851772,0,"[130576761, 130653079]",False,"['Rua Maranhão', 'Avenida Deputado Benedito Matarazzo']",residential,False,167.55700000000002,0.001589527816736793,0.9981709722087881,,"LINESTRING (-45.8647237 -23.1913291, -45.8643107 -23.1911324, -45.8642617 -23.1910835, -45.8642425 -23.1910307, -45.8642512 -23.1909528, -45.8647168 -23.1901852)",,,,
1437698195,1437698184,0,130576762,False,Rua Ceará,residential,False,185.914,0.006316554984156668,,,"LINESTRING (-45.8661401 -23.190135, -45.865258 -23.1915972)",,,,
1437698195,1438333450,0,130653078,False,Rua Pernambuco,residential,True,63.481,0.003934860526725884,0.9997282462733854,,"LINESTRING (-45.8661401 -23.190135, -45.86673 -23.1903136)",,,,
1438333450,1437698195,0,130653078,False,Rua Pernambuco,residential,False,63.481,0.007885304659498209,,,"LINESTRING (-45.86673 -23.1903136, -45.8661401 -23.190135)",,,,
1438333450,1437681457,0,130653078,False,Rua Pernambuco,residential,True,64.435,0.009474832476235002,,,"LINESTRING (-45.86673 -23.1903136, -45.8673288 -23.1904948)",,,,
1446670972,1437659085,0,448350906,True,Avenida dos Astronautas,secondary,False,153.286,0.06517583502155733,,2,"LINESTRING (-45.8658229 -23.1949238, -45.8659978 -23.1947089, -45.8661647 -23.1945881, -45.8661788 -23.1945779, -45.8663895 -23.1944934, -45.8666181 -23.1944743, -45.8668631 -23.1945028, -45.8668763 -23.1945043, -45.8671338 -23.1945142)",60,,,
1446670972,6193276640,0,772037050,True,,motorway_link,False,85.16,0.01048839557293664,0.9979561934544235,2,"LINESTRING (-45.8658229 -23.1949238, -45.8659128 -23.1944682, -45.8660153 -23.1941804)",60,,,
1446670988,1454021673,0,312071903,True,Avenida dos Astronautas,secondary,False,222.525,0.05890043323283734,0.9945092478620849,,"LINESTRING (-45.8540288 -23.2182371, -45.8541801 -23.2178618, -45.8542699 -23.2177099, -45.8545876 -23.2172996, -45.8552113 -23.2165742)",60,,,
1446670988,1446748371,0,312135006,True,,secondary_link,False,40.15,0.02152485585164407,0.9919023763040232,,"LINESTRING (-45.8540288 -23.2182371, -45.8540791 -23.2181952, -45.8541076 -23.2181764, -45.8541706 -23.2181496, -45.8542276 -23.2181493, -45.8542762 -23.2181801, -45.8543399 -23.2182562)",60,,,
1446670989,1454044981,0,312071903,True,Avenida dos Astronautas,secondary,False,46.913,0.007221474869633769,0.9996188886698221,,"LINESTRING (-45.8569489 -23.2140414, -45.8570612 -23.2138016, -45.8570954 -23.2137139, -45.8571112 -23.2136478)",60,,,
