u,v,key,osmid,oneway,name,highway,reversed,length,geometry,ebc,junction,bridge
1454017530,6308115793,0,132119125,False,Rua dos Canindés,residential,True,55.361999999999995,"LINESTRING (-45.8535937 -23.2120341, -45.8537178 -23.2120881, -45.8540054 -23.2122133, -45.8540843 -23.2122452)",0.017622536193964766,,
1454017530,1454017531,0,132120138,False,Rua das Siriemas,residential,False,194.54299999999998,"LINESTRING (-45.8535937 -23.2120341, -45.85357 -23.2120856, -45.8527623 -23.2136079)",0.0007945229373800803,,
1454017531,1454017533,0,132119310,False,Rua dos Jaburus,residential,False,52.946,"LINESTRING (-45.8527623 -23.2136079, -45.8522986 -23.2133955)",0.009208093493807783,,
1454017531,6308115793,0,"[132133901, 132119310]",False,"['Avenida das Sairas', 'Rua dos Jaburus']",residential,True,249.95100000000002,"LINESTRING (-45.8527623 -23.2136079, -45.8531896 -23.2138109, -45.8532281 -23.2138158, -45.8532573 -23.2138112, -45.8532724 -23.2137994, -45.8540407 -23.2123077, -45.8540843 -23.2122452)",0.013746511425082857,,
1454017531,1454017530,0,132120138,False,Rua das Siriemas,residential,True,194.54299999999998,"LINESTRING (-45.8527623 -23.2136079, -45.85357 -23.2120856, -45.8535937 -23.2120341)",0.0009166230594802023,,
1454017532,1454017530,0,132119125,False,Rua dos Canindés,residential,True,56.768,"LINESTRING (-45.8530963 -23.2118068, -45.8535937 -23.2120341)",0.012483429269143559,,
1454017532,1454017533,0,132120139,False,Rua Curios,residential,False,194.558,"LINESTRING (-45.8530963 -23.2118068, -45.8522986 -23.2133955)",0.002268881911739054,,
1454017532,1454017534,0,132119125,False,Rua dos Canindés,residential,False,52.204,"LINESTRING (-45.8530963 -23.2118068, -45.8530191 -23.2117696, -45.8526369 -23.2116016)",0.0053213849642421065,,
1454017533,1454017536,0,132119310,False,Rua dos Jaburus,residential,False,55.911,"LINESTRING (-45.8522986 -23.2133955, -45.8518077 -23.2131735)",0.01243240886098029,,
1454017533,1454017531,0,132119310,False,Rua dos Jaburus,residential,True,52.946,"LINESTRING (-45.8522986 -23.2133955, -45.8527623 -23.2136079)",0.0097028170242456,,
1454017533,1454017532,0,132120139,False,Rua Curios,residential,True,194.558,"LINESTRING (-45.8522986 -23.2133955, -45.8530963 -23.2118068)",0.002439058956916099,,
1454017534,3179135157,0,132119125,False,Rua dos Canindés,residential,False,28.307000000000002,"LINESTRING (-45.8526369 -23.2116016, -45.8524749 -23.2114934, -45.8524311 -23.2114355)",0.007562576312576312,,
1454017534,1454017532,0,132119125,False,Rua dos Canindés,residential,True,52.204,"LINESTRING (-45.8526369 -23.2116016, -45.8530191 -23.2117696, -45.8530963 -23.2118068)",0.008116714634571778,,
1454017534,1454017536,0,132120140,False,Rua dos Jaçanãs,residential,False,194.245,"LINESTRING (-45.8526369 -23.2116016, -45.8526106 -23.2116515, -45.8518077 -23.2131735)",0.0182201726844584,,
1454017536,1454017537,0,132119310,False,Rua dos Jaburus,residential,False,54.108,"LINESTRING (-45.8518077 -23.2131735, -45.8513332 -23.2129576)",0.03408860980289551,,
1454017536,1454017533,0,132119310,False,Rua dos Jaburus,residential,True,55.911,"LINESTRING (-45.8518077 -23.2131735, -45.8522986 -23.2133955)",0.013097309436595162,,
1454017536,1454017534,0,132120140,False,Rua dos Jaçanãs,residential,True,194.245,"LINESTRING (-45.8518077 -23.2131735, -45.8526106 -23.2116515, -45.8526369 -23.2116016)",0.011744815776409174,,
1454017537,1454017540,0,132119310,False,Rua dos Jaburus,residential,False,52.586,"LINESTRING (-45.8513332 -23.2129576, -45.8508729 -23.2127462)",0.05943068835925978,,
1454017537,1454017536,0,132119310,False,Rua dos Jaburus,residential,True,54.108,"LINESTRING (-45.8513332 -23.2129576, -45.8518077 -23.2131735)",0.028278153470461153,,
1454017537,3179135115,0,312091256,False,Rua Cuitelos,residential,True,157.383,"LINESTRING (-45.8513332 -23.2129576, -45.8520066 -23.2116847)",0.025714285714285714,,
1454017538,1454017540,0,132120142,False,Rua dos Socos,residential,False,125.855,"LINESTRING (-45.8513896 -23.2117188, -45.8508729 -23.2127462)",0.017235312764158926,,
1454017538,1454012796,0,312091253,False,Avenida das Curruiras,residential,False,70.254,"LINESTRING (-45.8513896 -23.2117188, -45.8507258 -23.2118831)",0.03898104871319157,,
1454017538,1454006787,0,312091253,False,Avenida das Curruiras,residential,True,50.748,"LINESTRING (-45.8513896 -23.2117188, -45.8518511 -23.2115503)",0.04865689865689866,,
1454017540,1454017543,0,132119310,False,Rua dos Jaburus,residential,False,55.494,"LINESTRING (-45.8508729 -23.2127462, -45.8503858 -23.2125256)",0.05513786808429665,,
1454017540,1454017537,0,132119310,False,Rua dos Jaburus,residential,True,52.586,"LINESTRING (-45.8508729 -23.2127462, -45.8513332 -23.2129576)",0.05232097572756914,,
1454017540,1454017538,0,132120142,False,Rua dos Socos,residential,True,125.855,"LINESTRING (-45.8508729 -23.2127462, -45.8513896 -23.2117188)",0.014115775097917952,,
