u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ebc,junction,bridge
1453969511,1453969533,0,132113612,False,Rua Avião Uirapuru,residential,,False,73.652,"LINESTRING (-45.8614324 -23.1994463, -45.861014 -23.1999856)",0.0023990980387093947,,
1453969511,1453969544,0,"[132113603, 132113596]",False,"['Rua Avião Muniz', 'Rua Avião Alvear']",residential,,False,249.85899999999998,"LINESTRING (-45.8614324 -23.1994463, -45.8598435 -23.198826, -45.8594474 -23.1993769)",0.036286811611342215,,
1453969527,1446671019,0,310603470,True,,residential,,False,43.181,"LINESTRING (-45.8633634 -23.2005985, -45.8636959 -23.2003589)",0.0010631584429270323,,
1453969527,3160449708,0,310603474,True,,residential,,False,6.951,"LINESTRING (-45.8633634 -23.2005985, -45.8634179 -23.2006359)",0.022236383226310715,,
1453969529,1453969527,0,310603470,True,,residential,,False,13.201,"LINESTRING (-45.863259 -23.2006684, -45.8633634 -23.2005985)",0.023313327040202083,,
1453969532,1453969565,0,132113608,False,Rua Aviao Regente,residential,,False,88.335,"LINESTRING (-45.8617754 -23.2002814, -45.8611533 -23.2008329)",0.0012340221042531734,,
1453969532,1453969533,0,448342049,False,Rua Avião Bandeirante,residential,,False,84.483,"LINESTRING (-45.8617754 -23.2002814, -45.861014 -23.1999856)",0.0009589111227338507,,
1453969532,1453969483,0,448342049,False,Rua Avião Bandeirante,residential,,True,78.37,"LINESTRING (-45.8617754 -23.2002814, -45.8624817 -23.2005558)",0.0031915742735420896,,
1453969533,1453969511,0,132113612,False,Rua Avião Uirapuru,residential,,True,73.652,"LINESTRING (-45.861014 -23.1999856, -45.8614324 -23.1994463)",0.00247313468529614,,
1453969533,1453969534,0,448342049,False,Rua Avião Bandeirante,residential,,False,30.568,"LINESTRING (-45.861014 -23.1999856, -45.8607385 -23.1998786)",0.0007209702158593847,,
1453969533,1453969532,0,448342049,False,Rua Avião Bandeirante,residential,,True,84.483,"LINESTRING (-45.861014 -23.1999856, -45.8617754 -23.2002814)",0.001007279032883785,,
1453969534,1453969565,0,132113611,False,Praça Quatorze Bis,residential,,True,114.269,"LINESTRING (-45.8607385 -23.1998786, -45.8611533 -23.2008329)",0.0007296454621403386,,
