u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,ref,bridge,junction
1454012796,1454006788,0,312091253,False,,Avenida das Curruiras,residential,,False,117.292,"LINESTRING (-45.8507258 -23.2118831, -45.8496187 -23.2121613)",0.00118720500931868,,,,
1454012796,1454017538,0,312091253,False,,Avenida das Curruiras,residential,,True,70.254,"LINESTRING (-45.8507258 -23.2118831, -45.8513896 -23.2117188)",0.0056302035442330235,0.9995125204222166,,,
1454012811,1454012823,0,132119122,False,,Avenida dos Tangarás,residential,,True,119.564,"LINESTRING (-45.850216 -23.2103089, -45.8490845 -23.2105823)",0.002231714078960984,0.9997027833176011,,,
1454012811,1454012659,0,312091245,False,,Rua das Jacutingas,residential,,True,62.279,"LINESTRING (-45.850216 -23.2103089, -45.8503877 -23.2108463)",0.0035143876186040897,,,,
1454012811,1454008414,0,132119122,False,,Avenida dos Tangarás,residential,,False,270.861,"LINESTRING (-45.850216 -23.2103089, -45.851216 -23.210002, -45.8518983 -23.2097838, -45.8524344 -23.2096519, -45.8527484 -23.2096016)",0.00979005257601952,,,,
1454012823,1454012811,0,132119122,False,,Avenida dos Tangarás,residential,,False,119.564,"LINESTRING (-45.8490845 -23.2105823, -45.850216 -23.2103089)",0.008198870610295917,,,,
1454012823,11294568358,0,132119122,False,,Avenida dos Tangarás,residential,,True,90.842,"LINESTRING (-45.8490845 -23.2105823, -45.8482138 -23.2107468)",0.0015122463747685706,0.9992329608451214,,,
1454012823,2061117199,0,132119551,False,,,residential,,True,59.344,"LINESTRING (-45.8490845 -23.2105823, -45.8491996 -23.2111054)",0.005231276094611007,0.9998654064724655,,,
1454017530,1454017532,0,132119125,False,,Rua dos Canindés,residential,,False,56.768,"LINESTRING (-45.8535937 -23.2120341, -45.8530963 -23.2118068)",0.0009994343923295968,0.9998908284986598,,,
1454017530,6308115793,0,132119125,False,,Rua dos Canindés,residential,,True,55.361999999999995,"LINESTRING (-45.8535937 -23.2120341, -45.8537178 -23.2120881, -45.8540054 -23.2122133, -45.8540843 -23.2122452)",0.0017569037238664238,0.9998400673162001,,,
1454017530,1454017531,0,132120138,False,,Rua das Siriemas,residential,,False,194.54299999999998,"LINESTRING (-45.8535937 -23.2120341, -45.85357 -23.2120856, -45.8527623 -23.2136079)",5.395133778792748e-05,0.9999866200501103,,,
1454017531,1454017533,0,132119310,False,,Rua dos Jaburus,residential,,False,52.946,"LINESTRING (-45.8527623 -23.2136079, -45.8522986 -23.2133955)",0.005351033173179078,0.9997012418536703,,,
1454017531,6308115793,0,"[132133901, 132119310]",False,,"['Avenida das Sairas', 'Rua dos Jaburus']",residential,,True,249.95100000000002,"LINESTRING (-45.8527623 -23.2136079, -45.8531896 -23.2138109, -45.8532281 -23.2138158, -45.8532573 -23.2138112, -45.8532724 -23.2137994, -45.8540407 -23.2123077, -45.8540843 -23.2122452)",0.003488181325709699,0.9997243337182409,,,
1454017531,1454017530,0,132120138,False,,Rua das Siriemas,residential,,True,194.54299999999998,"LINESTRING (-45.8527623 -23.2136079, -45.85357 -23.2120856, -45.8535937 -23.2120341)",4.47414173879539e-05,,,,
1454017532,1454017530,0,132119125,False,,Rua dos Canindés,residential,,True,56.768,"LINESTRING (-45.8530963 -23.2118068, -45.8535937 -23.2120341)",0.0011326402825514819,,,,
1454017532,1454017533,0,132120139,False,,Rua Curios,residential,,False,194.558,"LINESTRING (-45.8530963 -23.2118068, -45.8522986 -23.2133955)",0.00017614604985830565,0.9999821600668127,,,
1454017532,1454017534,0,132119125,False,,Rua dos Canindés,residential,,False,52.204,"LINESTRING (-45.8530963 -23.2118068, -45.8530191 -23.2117696, -45.8526369 -23.2116016)",0.0004159474299794015,0.9999156987143941,,,
1454017533,1454017536,0,132119310,False,,Rua dos Jaburus,residential,,False,55.911,"LINESTRING (-45.8522986 -23.2133955, -45.8518077 -23.2131735)",0.005556445677488469,0.9996090831249456,,,
1454017533,1454017531,0,132119310,False,,Rua dos Jaburus,residential,,True,52.946,"LINESTRING (-45.8522986 -23.2133955, -45.8527623 -23.2136079)",0.0029500663520707526,,,,
1454017533,1454017532,0,132120139,False,,Rua Curios,residential,,True,194.558,"LINESTRING (-45.8522986 -23.2133955, -45.8530963 -23.2118068)",0.00015049259010182652,,,,
1454017534,3179135157,0,132119125,False,,Rua dos Canindés,residential,,False,28.307000000000002,"LINESTRING (-45.8526369 -23.2116016, -45.8524749 -23.2114934, -45.8524311 -23.2114355)",0.0010807824239440578,0.9994860199357779,,,
1454017534,1454017532,0,132119125,False,,Rua dos Canindés,residential,,True,52.204,"LINESTRING (-45.8526369 -23.2116016, -45.8530191 -23.2117696, -45.8530963 -23.2118068)",0.000574806779957758,,,,
1454017534,1454017536,0,132120140,False,,Rua dos Jaçanãs,residential,,False,194.245,"LINESTRING (-45.8526369 -23.2116016, -45.8526106 -23.2116515, -45.8518077 -23.2131735)",0.0021343541926135173,0.9995457886652411,,,
1454017536,1454017537,0,132119310,False,,Rua dos Jaburus,residential,,False,54.108,"LINESTRING (-45.8518077 -23.2131735, -45.8513332 -23.2129576)",0.009030759934698148,0.9984384149437524,,,
1454017536,1454017533,0,132119310,False,,Rua dos Jaburus,residential,,True,55.911,"LINESTRING (-45.8518077 -23.2131735, -45.8522986 -23.2133955)",0.003129825396623691,,,,
1454017536,1454017534,0,132120140,False,,Rua dos Jaçanãs,residential,,True,194.245,"LINESTRING (-45.8518077 -23.2131735, -45.8526106 -23.2116515, -45.8526369 -23.2116016)",0.0016261539355322664,,,,
