osmid,y,x,highway,street_count,dc,cc,nbc,com,geometry
1454052681,-23.2129258,-45.8435948,,3,0.007766990291262136,0.05528634477823193,0.16037372434524041,20.953805575223697,POINT (-45.8435948 -23.2129258)
1454052692,-23.212761,-45.8434583,,3,0.005825242718446602,0.05492699252097986,0.11424399747432501,20.317936160040663,POINT (-45.8434583 -23.212761)
1454052710,-23.2139327,-45.8441808,,3,0.007766990291262136,0.048274880316211084,0.014568593483254825,21.039905877626925,POINT (-45.8441808 -23.2139327)
1454052711,-23.214108,-45.8442696,,3,0.005825242718446602,0.046089543492515685,0.007359752181632721,20.33521223989837,POINT (-45.8442696 -23.214108)
1454052712,-23.2141586,-45.8442871,,3,0.005825242718446602,0.044062837226137574,0.00736352990064598,20.257927031794626,POINT (-45.8442871 -23.2141586)
1454052716,-23.214463,-45.844248,,3,0.007766990291262136,0.04263990143479649,0.0019704222590399916,20.577821350314984,POINT (-45.844248 -23.214463)
1454052731,-23.214113,-45.8442183,,3,0.005825242718446602,0.04098545533596031,0.003890744768308895,20.425060776649133,POINT (-45.8442183 -23.214113)
1454052732,-23.2141227,-45.8442099,,3,0.005825242718446602,0.04273333906120228,0.003886967049295636,20.809247152818294,POINT (-45.8442099 -23.2141227)
1454052733,-23.2141769,-45.8442263,,3,0.005825242718446602,0.0407286583630143,0.004221762899561246,20.79808804372335,POINT (-45.8442263 -23.2141769)
1454052750,-23.2142172,-45.8440351,,3,0.007766990291262136,0.04460945521389803,0.008019935562907117,22.561782752791004,POINT (-45.8440351 -23.2142172)
1454052757,-23.2141809,-45.8442382,,3,0.005825242718446602,0.04245424666843884,0.004217985180547984,20.336616459450465,POINT (-45.8442382 -23.2141809)
1454052767,-23.215828,-45.8437834,,3,0.007766990291262136,0.0410950776431484,0.015188319292811,20.520360672455585,POINT (-45.8437834 -23.215828)
1454052772,-23.2160525,-45.8437499,,3,0.005825242718446602,0.0395037840250226,0.009593517434173245,19.97058775519929,POINT (-45.8437499 -23.2160525)
1454052778,-23.2161252,-45.8437246,,3,0.005825242718446602,0.03800547694784237,0.009597295153186506,18.88354072539212,POINT (-45.8437246 -23.2161252)
1454052784,-23.21634,-45.84366,,3,0.007766990291262136,0.0366378400145361,0.0038570511125382493,15.872911295749171,POINT (-45.84366 -23.21634)
1454052794,-23.2160183,-45.8436683,,3,0.005825242718446602,0.03946074153328392,0.0020305239696271392,20.25280344268834,POINT (-45.8436683 -23.2160183)
1454052801,-23.2160971,-45.8436301,,3,0.005825242718446602,0.035355349554505616,0.009612406029239545,20.39170354946744,POINT (-45.8436301 -23.2160971)
1454052817,-23.2161129,-45.8436404,,3,0.005825242718446602,0.036648432812516445,0.009608628310226285,18.954975470887256,POINT (-45.8436404 -23.2161129)
1454052828,-23.216044,-45.8434693,,3,0.007766990291262136,0.04281272211104999,0.01520343016886404,21.926529143852218,POINT (-45.8434693 -23.216044)
1454052866,-23.2153889,-45.8409662,,3,0.007766990291262136,0.048842218279661405,0.057755549199393415,23.641910829805482,POINT (-45.8409662 -23.2153889)
1454060955,-23.2133262,-45.841706,,3,0.007766990291262136,0.044055180116531846,0.06101016206414567,18.211102537123683,POINT (-45.841706 -23.2133262)
1454060964,-23.2151818,-45.8407967,,4,0.009708737864077669,0.04131272451406869,0.05185475210068159,23.894722629576968,POINT (-45.8407967 -23.2151818)
1454060966,-23.2155301,-45.8407074,,3,0.005825242718446602,0.04306727834546547,0.049916782246879336,22.420810894690874,POINT (-45.8407074 -23.2155301)
1454060972,-23.2158608,-45.8406355,,4,0.011650485436893204,0.04306727834546547,0.03572211098938461,27.667871987817644,POINT (-45.8406355 -23.2158608)
1454061025,-23.2151731,-45.8409228,,3,0.005825242718446602,0.048274880316211084,0.005458803974160402,22.35967874393223,POINT (-45.8409228 -23.2151731)
1454061043,-23.2155342,-45.8408437,,3,0.007766990291262136,0.04680430794435199,0.05184341894364183,21.051692900753764,POINT (-45.8408437 -23.2155342)
1454061047,-23.2155607,-45.8407947,,3,0.005825242718446602,0.04470779190205141,0.030559750022936146,22.794575951567673,POINT (-45.8407947 -23.2155607)
1454061059,-23.2173386,-45.8394695,,3,0.005825242718446602,0.04141395638006739,0.030312417362396583,21.800172643455472,POINT (-45.8394695 -23.2173386)
1454061077,-23.2150077,-45.8396493,,1,0.003883495145631068,0.03966448157405656,0.0,8.500747909518251,POINT (-45.8396493 -23.2150077)
1454061088,-23.2159366,-45.840835,,3,0.011650485436893204,0.044866035568636844,0.02158966416077972,18.61961877345731,POINT (-45.840835 -23.2159366)
1454061106,-23.2169198,-45.8403945,turning_circle,1,0.003883495145631068,0.042928716278144534,0.0,6.983364090532108,POINT (-45.8403945 -23.2169198)
1454061109,-23.2171993,-45.8409181,turning_circle,1,0.003883495145631068,0.04434415497298977,0.0,6.713887888496778,POINT (-45.8409181 -23.2171993)
1454061111,-23.216665,-45.8414412,,3,0.011650485436893204,0.04641441486279431,0.0038570511125382493,17.63916120449859,POINT (-45.8414412 -23.216665)
1454061125,-23.2164974,-45.841635,,3,0.011650485436893204,0.04652087971017204,0.0004853109692367748,23.233080917016586,POINT (-45.841635 -23.2164974)
1454061142,-23.2136448,-45.8440208,,3,0.011650485436893204,0.050667639448502555,0.05334639344763691,24.25025593543855,POINT (-45.8440208 -23.2136448)
1454061151,-23.2131636,-45.8437309,,3,0.011650485436893204,0.05308669960853995,0.15806201215705953,23.9799938948834,POINT (-45.8437309 -23.2131636)
1454061177,-23.2154606,-45.8414461,,4,0.015533980582524271,0.05101429398945216,0.1064337433057928,31.798354948481943,POINT (-45.8414461 -23.2154606)
1454061179,-23.2164272,-45.8414689,,3,0.011650485436893204,0.04855224245534473,0.008547970735270052,22.975098663405472,POINT (-45.8414689 -23.2164272)
1454061211,-23.2147707,-45.8441401,,3,0.011650485436893204,0.042830804862406244,0.022802024137825595,21.941385199114766,POINT (-45.8441401 -23.2147707)
1454061244,-23.2175782,-45.8421511,turning_circle,1,0.003883495145631068,0.04276938574113581,0.0,9.03762069036557,POINT (-45.8421511 -23.2175782)
1454061261,-23.2156652,-45.842574,,4,0.015533980582524271,0.04666645816485643,0.06736257647632361,28.77592282001247,POINT (-45.842574 -23.2156652)
1454061284,-23.2173881,-45.8415126,turning_circle,1,0.003883495145631068,0.04457415982076176,0.0,9.57590949476279,POINT (-45.8415126 -23.2173881)
1454061305,-23.2178307,-45.8426844,turning_circle,1,0.003883495145631068,0.03533563788146666,0.0,6.39637011664623,POINT (-45.8426844 -23.2178307)
1454067830,-23.2146425,-45.8408859,,3,0.007766990291262136,0.0397141903314142,0.04792036568320048,18.634531951636227,POINT (-45.8408859 -23.2146425)
1454067832,-23.2144831,-45.8399018,turning_circle,1,0.003883495145631068,0.03818867725850456,0.0,7.063474837540947,POINT (-45.8399018 -23.2144831)
1454067838,-23.2139775,-45.8412058,,4,0.011650485436893204,0.04815567176001188,0.06399833780363416,23.271659203434965,POINT (-45.8412058 -23.2139775)
1454067843,-23.214043,-45.8400556,turning_circle,1,0.003883495145631068,0.0459308875768788,0.0,8.39913544100093,POINT (-45.8400556 -23.214043)
1454067867,-23.2134736,-45.8402262,turning_circle,1,0.003883495145631068,0.04218930503920495,0.0,6.434669935723847,POINT (-45.8402262 -23.2134736)
1454067877,-23.2128593,-45.8405741,,1,0.003883495145631068,0.040533301459842117,0.0,6.37943845004905,POINT (-45.8405741 -23.2128593)
1454067932,-23.210621,-45.8425219,,3,0.011650485436893204,0.044189564926021004,0.0640134486796872,16.43525581500791,POINT (-45.8425219 -23.210621)
1454067970,-23.2132189,-45.837389,,3,0.011650485436893204,0.03912276758959607,0.01536020550791432,13.218055003551804,POINT (-45.837389 -23.2132189)
