u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,bridge,junction
1437658979,1437658995,0,130573173,False,,,Rua Rubi,residential,,False,143.305,"LINESTRING (-45.8734803 -23.1948049, -45.8725067 -23.1938775)",0.0008247324297361693,0.999979137207043,,
1437658979,1437658980,0,664308451,True,,,Rua Genésia Berardineli Tarantino,tertiary,,False,60.859,"LINESTRING (-45.8734803 -23.1948049, -45.8732537 -23.1950419, -45.8730872 -23.195216)",0.0014789540692751923,0.9994135828498559,,
1437658980,1437658985,0,130573169,False,,,Rua Safira,residential,,False,147.495,"LINESTRING (-45.8730872 -23.195216, -45.8720744 -23.1942711)",0.005450311736714117,0.9996617738403447,,
1437658980,1437658976,0,884654249,False,,,Rua Genésia Berardineli Tarantino,tertiary,,False,30.738,"LINESTRING (-45.8730872 -23.195216, -45.8728885 -23.1954235)",0.0011719503117698451,,,
1437658980,1437658984,0,313224439,True,,,Rua Genésia Berardineli Tarantino,secondary_link,,False,38.353,"LINESTRING (-45.8730872 -23.195216, -45.8730464 -23.1953297, -45.8730436 -23.1953989, -45.8730668 -23.195469, -45.8731253 -23.1955318)",0.0006643446478625642,0.9996342542850906,,
1437658984,1434769556,0,129005031,True,2,,Avenida Deputado Benedito Matarazzo,secondary,,False,171.268,"LINESTRING (-45.8731253 -23.1955318, -45.8745623 -23.1963241)",0.00010673172955628578,,,
1437658985,1437658986,0,130573169,False,,,Rua Safira,residential,,False,59.99,"LINESTRING (-45.8720744 -23.1942711, -45.8716492 -23.1938992)",0.006836343820626729,0.9992651553977596,,
1437658985,1437658980,0,130573169,False,,,Rua Safira,residential,,True,147.495,"LINESTRING (-45.8720744 -23.1942711, -45.8730872 -23.195216)",0.0016267628549649518,,,
1437658985,1437658995,0,130573171,False,,,Rua Pérolas,residential,,True,62.191,"LINESTRING (-45.8720744 -23.1942711, -45.8725067 -23.1938775)",0.002809699822322167,0.999840761970275,,
1437658986,1437658985,0,130573169,False,,,Rua Safira,residential,,True,59.99,"LINESTRING (-45.8716492 -23.1938992, -45.8720744 -23.1942711)",0.0031444109334124505,,,
1437658986,1437658999,0,130573175,False,,,Rua Opala,residential,,True,35.074,"LINESTRING (-45.8716492 -23.1938992, -45.8718877 -23.1936724)",0.0010706948829590805,0.999764706231687,,
1437658986,1437659002,0,"[130573176, 130573177, 130573175]",False,,,"['Rua Ametista', 'Rua Opala']",residential,,False,169.81499999999997,"LINESTRING (-45.8716492 -23.1938992, -45.8715 -23.1940375, -45.8714692 -23.1940449, -45.8714379 -23.1940335, -45.8712454 -23.1938571, -45.8706509 -23.1933108, -45.8706456 -23.1932747, -45.8706548 -23.1932443, -45.8707851 -23.1931077)",0.01110712026050101,0.9992828172963726,,
1437658987,2061117171,0,130573170,False,,,Rua Água Marinha,tertiary,,False,66.806,"LINESTRING (-45.8726735 -23.1929535, -45.8720948 -23.1926742)",0.0075734381236407565,0.9996617190076826,,
1437658987,2061117173,0,130573170,False,,,Rua Água Marinha,tertiary,,True,63.057,"LINESTRING (-45.8726735 -23.1929535, -45.8732234 -23.1932106)",0.006417444861441004,0.9995465778576718,,
1437658987,1437658999,0,130573175,False,,,Rua Opala,residential,,False,113.317,"LINESTRING (-45.8726735 -23.1929535, -45.8718877 -23.1936724)",0.0035848463598084066,0.9998707768106689,,
1437658988,1437658989,0,130573170,False,,,Rua Água Marinha,tertiary,,False,65.27,"LINESTRING (-45.8715406 -23.1924238, -45.8709714 -23.1921577)",0.008883650339469286,0.9993229242259901,,
1437658988,2061117171,0,130573170,False,,,Rua Água Marinha,tertiary,,True,63.117,"LINESTRING (-45.8715406 -23.1924238, -45.8720948 -23.1926742)",0.01900851667340981,0.9995805740848455,,
1437658988,1437659003,0,130573177,False,,,Rua Ametista,residential,,True,72.135,"LINESTRING (-45.8715406 -23.1924238, -45.8710467 -23.1928872)",0.001517084645985691,0.9998978076072855,,
1437658989,2061117167,0,130573170,False,,,Rua Água Marinha,tertiary,,False,66.011,"LINESTRING (-45.8709714 -23.1921577, -45.8704132 -23.1918591)",0.006723095667917864,0.9993073060739298,,
1437658989,1437658988,0,130573170,False,,,Rua Água Marinha,tertiary,,True,65.27,"LINESTRING (-45.8709714 -23.1921577, -45.8715406 -23.1924238)",0.021172810337318018,,,
1437658989,1437659005,0,130573180,False,,,Rua Alabastro,residential,,False,87.717,"LINESTRING (-45.8709714 -23.1921577, -45.8703527 -23.1927044)",0.007382540152054551,0.9999450748591474,,
1437658990,1437681479,0,665146352,False,,,Rua Água Marinha,residential,,False,47.688,"LINESTRING (-45.8698476 -23.1915753, -45.869431 -23.1913822)",0.002087852931081889,0.9997524594595046,,
1437658990,2061117167,0,665146352,False,,,Rua Água Marinha,residential,,True,65.862,"LINESTRING (-45.8698476 -23.1915753, -45.8704132 -23.1918591)",0.11377254343464278,0.9969428804835525,,
1437658990,7702799499,0,670126332,True,,,Rua Bahia,secondary,,False,126.30199999999999,"LINESTRING (-45.8698476 -23.1915753, -45.8706891 -23.1908824, -45.8707643 -23.1908138)",0.04121345034067082,0.9981551936550429,,
