u,v,key,osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,ebc,maxspeed,bridge,junction
1434891758,3192010022,0,130569515,True,,,Rua José Francisco Monteiro,residential,False,11.767,"LINESTRING (-45.8791652 -23.1928552, -45.8790768 -23.192923)",0.003012055360423389,,,
1434891758,2156454186,0,313291503,True,,,Rua Itororó,tertiary,False,29.789,"LINESTRING (-45.8791652 -23.1928552, -45.8793478 -23.193064)",0.0007537574840324776,,,
1437624917,1437627821,0,130569346,False,,,Rua Coronel Pacheco Neto,residential,False,42.766,"LINESTRING (-45.878994 -23.1904357, -45.8786393 -23.1902317)",0.0007561371445976946,,,
1437624924,1437624931,0,130569352,True,,,Rua Ademar Guedes de Oliveira,residential,False,12.136,"LINESTRING (-45.8785205 -23.1926114, -45.8785743 -23.1925141)",1.3088133108693376e-05,,,
1437624924,3192010020,0,789762333,True,,,Rua Itororó,tertiary,False,31.243,"LINESTRING (-45.8785205 -23.1926114, -45.8784443 -23.1925351, -45.8783138 -23.1924044)",0.0037598636930428245,,,
1437624926,3192010020,0,130569349,False,,,Rua Itororó,tertiary,False,102.437,"LINESTRING (-45.8774842 -23.1918875, -45.8783138 -23.1924044)",0.005598270462701201,,,
1437624926,1437641687,0,130569349,False,,,Rua Itororó,tertiary,True,32.92,"LINESTRING (-45.8774842 -23.1918875, -45.8773547 -23.1918065, -45.8773204 -23.1917851, -45.877241 -23.1917345, -45.8772179 -23.191721)",0.006040782509449519,,,
1437624927,1437646780,0,789762332,True,,,Rua Genésia Berardineli Tarantino,secondary,False,80.563,"LINESTRING (-45.8767407 -23.1913914, -45.8762201 -23.1919354)",0.02547462779834042,,,
1437624931,2061117166,0,130569352,True,,,Rua Ademar Guedes de Oliveira,residential,False,111.418,"LINESTRING (-45.8785743 -23.1925141, -45.8791654 -23.1916722)",0.0011042814852889385,,,
1437624931,1434891758,0,313291503,True,,,Rua Itororó,tertiary,False,71.334,"LINESTRING (-45.8785743 -23.1925141, -45.8787051 -23.192592, -45.8790231 -23.19278, -45.8791652 -23.1928552)",0.0037634331838906497,,,
1437627792,1437624927,0,130569516,True,,,Rua Genésia Berardineli Tarantino,secondary,False,10.284,"LINESTRING (-45.8768029 -23.1913187, -45.8767407 -23.1913914)",0.016527746671667995,60,,
1437627795,1437646733,0,130569516,True,,,Rua Genésia Berardineli Tarantino,secondary,False,8.691,"LINESTRING (-45.8774431 -23.1906404, -45.8773872 -23.1906993)",0.014590014577821952,60,,
1437627795,2061117162,0,313291504,True,,,Rua Antônio Costa Rosendo,residential,False,79.612,"LINESTRING (-45.8774431 -23.1906404, -45.8775031 -23.1906751, -45.8775405 -23.1906968, -45.877914 -23.1909191, -45.8779698 -23.1909523, -45.8780977 -23.1910284)",0.006051634174543252,,,
1437627798,1437627821,0,130569346,False,,,Rua Coronel Pacheco Neto,residential,True,70.93599999999999,"LINESTRING (-45.8780717 -23.1898646, -45.8781162 -23.1898933, -45.8786393 -23.1902317)",1.4277963391301866e-05,,,
1437627798,1437646728,0,130569516,True,,,Rua Genésia Berardineli Tarantino,secondary,False,85.922,"LINESTRING (-45.8780717 -23.1898646, -45.8777435 -23.1903288, -45.8775887 -23.1904954)",0.006445409793413735,60,,
1437627821,1437624917,0,130569346,False,,,Rua Coronel Pacheco Neto,residential,True,42.766,"LINESTRING (-45.8786393 -23.1902317, -45.878994 -23.1904357)",0.0007537574840324776,,,
1437627821,1437630820,0,130569520,True,,,Rua Presidente Vargas,residential,False,69.879,"LINESTRING (-45.8786393 -23.1902317, -45.879124 -23.1897885)",0.001496806495521479,,,
1437627821,1437627798,0,130569346,False,,,Rua Coronel Pacheco Neto,residential,False,70.93599999999999,"LINESTRING (-45.8786393 -23.1902317, -45.8781162 -23.1898933, -45.8780717 -23.1898646)",0.0022603800793854767,,,
1437627874,2061117166,0,130569347,False,,,Rua Ademar Guedes de Oliveira,residential,True,27.281,"LINESTRING (-45.879314 -23.1914684, -45.8791654 -23.1916722)",1.1898302826084887e-06,,,
1437627874,1437627891,0,130569519,False,,,Travessa Doutor Luiz de A. Castro,residential,False,70.71,"LINESTRING (-45.879314 -23.1914684, -45.8787332 -23.1911229)",0.0007555422294563903,,,
1437627891,1437627874,0,130569519,False,,,Travessa Doutor Luiz de A. Castro,residential,True,70.71,"LINESTRING (-45.8787332 -23.1911229, -45.879314 -23.1914684)",1.1898302826084887e-06,,,
1437629482,1439268313,0,743165720,True,,,,residential,False,12.625,"LINESTRING (-45.8792063 -23.1885305, -45.8790832 -23.1885398)",0.0007611939232987807,,,
1437630818,9041604426,0,130569516,True,,,Rua Genésia Berardineli Tarantino,secondary,False,16.426,"LINESTRING (-45.8788401 -23.188613, -45.8787618 -23.188742)",0.002273765670064822,60,,
1437630818,1439268315,0,743165719,True,,,,residential,False,19.355999999999998,"LINESTRING (-45.8788401 -23.188613, -45.8788609 -23.188678, -45.8789298 -23.1887634)",1.4872878532606109e-06,,,
1437630820,1437630821,0,130569872,False,,,Rua Capitão José Delias,residential,False,91.68299999999999,"LINESTRING (-45.879124 -23.1897885, -45.8784997 -23.1892793, -45.8784541 -23.1892402)",0.0015045403923584341,,,
1437630821,1437627798,0,130569516,True,,,Rua Genésia Berardineli Tarantino,secondary,False,79.676,"LINESTRING (-45.8784541 -23.1892402, -45.8780717 -23.1898646)",0.004196928016854342,60,,
1437630821,1437630820,0,130569872,False,,,Rua Capitão José Delias,residential,True,91.68299999999999,"LINESTRING (-45.8784541 -23.1892402, -45.8784997 -23.1892793, -45.879124 -23.1897885)",5.3542362717382e-06,,,
1437641678,4190236027,0,130571206,True,,,Rua Antônio Porfírio da Silva,tertiary,False,218.813,"LINESTRING (-45.8789438 -23.1946847, -45.8778101 -23.1941516, -45.8774034 -23.1939342, -45.8770413 -23.1937847)",0.0007573269748803029,,,
