osmid,y,x,street_count,dc,cc,bc,vul,eff,highway,ref,geometry
461875205,-23.5315706,-46.621295,4,0.0022338049143708115,0.031867147287191054,0.00034317147032745827,-0.0004817336141945974,0.07609631930206648,traffic_signals,,POINT (-46.621295 -23.5315706)
461875207,-23.5317971,-46.6204166,4,0.0014892032762472078,0.030947961997808686,0.0,-0.0005218951025919634,0.07609631930206648,traffic_signals,,POINT (-46.6204166 -23.5317971)
461875263,-23.5324636,-46.6226675,4,0.0014892032762472078,0.031927076310182025,0.0,-0.0004628479199394116,0.07609631930206648,,,POINT (-46.6226675 -23.5324636)
461875264,-23.5327254,-46.6216515,4,0.004467609828741623,0.03297039369736681,0.006766331577434686,-0.0002774094366219197,0.07609631930206648,traffic_signals,,POINT (-46.6216515 -23.5327254)
461875267,-23.53296,-46.6207593,4,0.0029784065524944155,0.0319324128113712,0.003989056242391691,-0.0003758568327345596,0.07609631930206648,,,POINT (-46.6207593 -23.53296)
461875269,-23.5332688,-46.6192851,3,0.0029784065524944155,0.03093338272723063,0.0014270606656139413,0.00037070094110999767,0.07609631930206648,,,POINT (-46.6192851 -23.5332688)
461879144,-23.5342496,-46.6279354,3,0.0022338049143708115,0.04030977600003554,0.00226930721752356,-3.903669635386626e-05,0.07609631930206648,,,POINT (-46.6279354 -23.5342496)
461879147,-23.5345019,-46.6270018,3,0.0022338049143708115,0.03794645517554595,0.012914431549100141,5.777918706801262e-05,0.07609631930206648,,,POINT (-46.6270018 -23.5345019)
461879194,-23.5359035,-46.6269022,3,0.004467609828741623,0.03637126362774987,0.0034934408400817546,0.001124274101248496,0.07609631930206648,,,POINT (-46.6269022 -23.5359035)
461879199,-23.5368296,-46.627324,3,0.004467609828741623,0.036379967750189125,0.005759747498650326,0.001532304097835334,0.07609631930206648,,,POINT (-46.627324 -23.5368296)
461879222,-23.5363754,-46.6288013,3,0.0029784065524944155,0.03791806011040664,0.006708100659155584,0.001138800408123385,0.07609631930206648,,,POINT (-46.6288013 -23.5363754)
461879225,-23.5365328,-46.6282083,4,0.004467609828741623,0.03823997553441727,0.0074844902770488065,0.0013273183611730648,0.07609631930206648,,,POINT (-46.6282083 -23.5365328)
461879227,-23.5366156,-46.6279003,4,0.004467609828741623,0.03780607877148322,0.026742722051287863,0.0018419964409749536,0.07609631930206648,,,POINT (-46.6279003 -23.5366156)
461879234,-23.5368142,-46.628322,1,0.0014892032762472078,0.03676378300849674,0.0,-0.00020601189752804722,0.07609631930206648,,,POINT (-46.628322 -23.5368142)
461879236,-23.5353498,-46.6277262,3,0.0022338049143708115,0.03870734084219969,0.009542814842514223,-9.595537068563415e-06,0.07609631930206648,,,POINT (-46.6277262 -23.5353498)
