u,v,key,osmid,oneway,lanes,name,highway,reversed,length,ebc,vulnerability,geometry,maxspeed,bridge,ref,junction
1446674017,2143249780,0,448352067,True,,,unclassified,False,11.127,0.021258412244654877,0.999802078092444,"LINESTRING (-45.8561454 -23.2227145, -45.8560959 -23.2227353, -45.8560427 -23.222746)",,,,circular
1446674018,1446674021,0,"[131451065, 312106034, 312065462, 312106031]",True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,False,442.577,0.003329164433327378,0.9999495740362909,"LINESTRING (-45.8606049 -23.2237976, -45.8610664 -23.2242429, -45.8613771 -23.2245271, -45.8614407 -23.2245852, -45.8616201 -23.2247494, -45.8614806 -23.2248836, -45.8612247 -23.2251297, -45.861084 -23.2252651, -45.86085 -23.2250292, -45.861303 -23.2245968, -45.8612582 -23.2245546, -45.8605319 -23.2238706)",60,,,
1446674018,1446674021,1,448343876,True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,False,11.807,0.003329164433327378,,"LINESTRING (-45.8606049 -23.2237976, -45.8605978 -23.2238233, -45.8605819 -23.2238455, -45.8605592 -23.2238619, -45.8605319 -23.2238706)",60,,,roundabout
1446674020,1446674018,0,448343876,True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,False,21.381999999999998,0.006643439938062057,,"LINESTRING (-45.8604587 -23.2237295, -45.8604816 -23.2237161, -45.8605079 -23.2237098, -45.8605351 -23.2237111, -45.8605591 -23.2237192, -45.8605795 -23.2237333, -45.8605947 -23.2237521, -45.8606035 -23.2237742, -45.8606049 -23.2237976)",60,,,roundabout
1446674021,1446674033,0,448343876,True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,False,13.242999999999999,0.006673217795247454,0.9997216165017169,"LINESTRING (-45.8605319 -23.2238706, -45.860506 -23.2238711, -45.860481 -23.2238648, -45.8604591 -23.223852, -45.8604422 -23.223834, -45.8604317 -23.2238122)",60,,,roundabout
1446674033,1446674017,0,"[312065461, 312071887]",True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,False,460.035,0.006670240009528914,,"LINESTRING (-45.8604317 -23.2238122, -45.8567256 -23.2226719, -45.8566023 -23.2226433, -45.8565001 -23.2226387, -45.8561454 -23.2227145)",60,,,
1446674033,1446674020,0,"[132234536, 448343875]",True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,False,10.091999999999999,1.7866714311238165e-05,,"LINESTRING (-45.8604317 -23.2238122, -45.8604285 -23.2237897, -45.8604322 -23.2237673, -45.8604425 -23.2237467, -45.8604587 -23.2237295)",60,,,roundabout
1446674039,7808956271,0,312071892,True,,Avenida Brigadeiro Faria Lima,tertiary,False,133.724,0.02618664760883807,0.9995510711440185,"LINESTRING (-45.8558943 -23.2220035, -45.8558271 -23.2218338, -45.8552864 -23.2209407)",60,,,
1446748353,3178886355,0,132120724,True,,Estrada Municipal Glaudistom P de Oliveira,secondary,False,28.939999999999998,0.031193841424376638,0.9999495740362913,"LINESTRING (-45.8540412 -23.218797, -45.8539567 -23.2187587, -45.8538765 -23.2187224, -45.8537872 -23.2186819)",,,,
1446748353,1446670988,0,312071903,True,,Avenida dos Astronautas,secondary,False,62.684,0.03669199036138945,,"LINESTRING (-45.8540412 -23.218797, -45.8540229 -23.2187171, -45.8540063 -23.2185718, -45.8540107 -23.218366, -45.8540161 -23.2183007, -45.8540288 -23.2182371)",60,,,
