u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,bridge,junction
1437646756,1439285813,0,130756788,True,,,Rua Luiz Pasteur,residential,,False,88.43299999999999,"LINESTRING (-45.8763831 -23.1886288, -45.8763593 -23.1885699, -45.8761806 -23.1878561)",0.00329598695701567,0.9998900354944624,,
1437646771,9041604378,0,130571654,True,,,Rua Riachuelo,residential,,False,168.213,"LINESTRING (-45.8755116 -23.1885746, -45.8755413 -23.1886392, -45.876134 -23.1899255, -45.8761534 -23.1899676)",0.008059636087972773,0.9997769727615505,,
1437646771,1439289548,0,130652724,True,,,Avenida Pedro Álvares Cabral,secondary,50,False,21.361,"LINESTRING (-45.8755116 -23.1885746, -45.8756157 -23.1885835, -45.8757197 -23.1885923)",0.010669614843537737,0.9995629007457281,,
1437646780,1438307087,0,789762332,True,,,Rua Genésia Berardineli Tarantino,secondary,,False,27.921,"LINESTRING (-45.8762201 -23.1919354, -45.8760415 -23.1921254)",0.012870228198769578,0.9993940469424549,,
1437646780,2061117155,0,130571655,True,,,Rua Tenente Aécio Lemes de Souza,residential,,False,202.994,"LINESTRING (-45.8762201 -23.1919354, -45.8761827 -23.1919222, -45.8761574 -23.1918891, -45.8754391 -23.1902957, -45.8754298 -23.1902738)",0.0016583446730603893,0.9992572276403628,,
1437646789,1439285800,0,130652724,True,,,Avenida Pedro Álvares Cabral,secondary,50,False,48.128,"LINESTRING (-45.8745953 -23.188523, -45.8750656 -23.1885441)",0.026913555899530022,0.998149322228103,,
1437646813,1437650673,0,448345146,True,,,Rua Ceci,secondary,,False,56.792,"LINESTRING (-45.8735531 -23.1889547, -45.873417 -23.1890712, -45.8731551 -23.189311)",0.009199863019980891,0.999739412786868,,
1437646822,2311497721,0,130758295,False,,,Rua Marechal Rondon,residential,,False,35.205,"LINESTRING (-45.872785 -23.1875174, -45.8726903 -23.187213)",0.011849316524600702,0.9997846277319309,,
1437646822,2311497722,0,1008846321,False,,,Avenida Presidente Juscelino Kubitschek,secondary,50,False,37.511,"LINESTRING (-45.872785 -23.1875174, -45.8725347 -23.1872707)",0.0059708575816955324,0.9997830899656543,,
1437646822,1439300025,0,1008846321,False,,,Avenida Presidente Juscelino Kubitschek,secondary,50,True,107.445,"LINESTRING (-45.872785 -23.1875174, -45.8733768 -23.188316)",0.0010096851273276816,0.9992120977591754,,
1437650652,1437658993,0,665146346,False,,,Rua Turmalina,tertiary,,False,75.141,"LINESTRING (-45.8747648 -23.1926963, -45.8741053 -23.1923977)",0.008990869076545557,0.9997895421522651,,
1437650652,2061117165,0,130572201,False,,,Rua Sardônica,residential,,False,137.174,"LINESTRING (-45.8747648 -23.1926963, -45.8747197 -23.1926022, -45.8742234 -23.1915675)",0.002399643218103452,0.9997384791412843,,
1437650652,2061127777,0,665146346,False,,,Rua Turmalina,tertiary,,True,55.653999999999996,"LINESTRING (-45.8747648 -23.1926963, -45.8752117 -23.1929157, -45.8752451 -23.1929321)",0.004834460363709862,0.9997278061047664,,
1437650653,1437658996,0,665146346,False,,,Rua Turmalina,tertiary,,False,114.78,"LINESTRING (-45.8739269 -23.19231, -45.8729236 -23.1918463)",0.015942694449725098,0.9994647639590409,,
1437650653,1437658993,0,665146346,False,,,Rua Turmalina,tertiary,,True,20.678,"LINESTRING (-45.8739269 -23.19231, -45.8741053 -23.1923977)",0.0033547173439592145,0.9997846663111467,,
1437650653,1437650703,0,130572200,False,,,Rua Granada,residential,,False,64.319,"LINESTRING (-45.8739269 -23.19231, -45.873869 -23.1921892, -45.8736731 -23.1917807)",0.002647634754854739,0.9997633210035529,,
1437650655,1437658996,0,665146346,False,,,Rua Turmalina,tertiary,,True,88.196,"LINESTRING (-45.8721561 -23.1914838, -45.8729236 -23.1918463)",0.006492794452432493,0.9992320981983006,,
