u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,name,junction,bridge
1446671013,3178886355,0,132120725,True,,secondary_link,,False,70.983,"LINESTRING (-45.854189 -23.2192006, -45.8541072 -23.2190992, -45.8540093 -23.2189563, -45.8539526 -23.2188753, -45.8539329 -23.2188472, -45.8538893 -23.2187843, -45.8538397 -23.2187319, -45.8538226 -23.2187153, -45.8537872 -23.2186819)",0.014623769942918877,0.9994452480044241,,,
1446671013,1446748353,0,312071892,True,,tertiary,60,False,47.435,"LINESTRING (-45.854189 -23.2192006, -45.8540928 -23.2189772, -45.8540697 -23.2188966, -45.8540412 -23.218797)",0.022709224836884413,0.9994647979198271,Avenida Brigadeiro Faria Lima,,
1446671015,1453969499,0,132113622,False,,residential,,False,87.42,"LINESTRING (-45.8612975 -23.203508, -45.8606957 -23.2029493)",0.008155727743814456,0.9978033442359057,Rua Avião Ipanema,,
1446671015,1453969576,0,448342028,True,,secondary,60,False,177.45100000000002,"LINESTRING (-45.8612975 -23.203508, -45.8613666 -23.203219, -45.8614599 -23.2028635, -45.8616347 -23.202485, -45.8618354 -23.2021928, -45.8619612 -23.2020581)",0.07356812086896837,0.9962888865698604,Avenida dos Astronautas,,
1446671018,1453987139,0,310701931,False,,residential,,False,93.618,"LINESTRING (-45.8605262 -23.2055917, -45.8599962 -23.204905)",0.01918414535247609,0.996508937617616,Rua Orion,,
1446671018,3161589327,0,448342052,True,,secondary,60,False,21.834,"LINESTRING (-45.8605262 -23.2055917, -45.8605868 -23.2055426, -45.8606704 -23.2054477)",0.1300148795358629,0.9984473077758725,Avenida dos Astronautas,,
1446671019,1446671010,0,448342025,True,,secondary,60,False,40.392,"LINESTRING (-45.8636959 -23.2003589, -45.8639063 -23.2000514)",0.008329101414207797,,Avenida dos Astronautas,,
1446671022,1454044978,0,132121716,False,,residential,,False,59.529,"LINESTRING (-45.8569899 -23.2107427, -45.8569067 -23.210743, -45.8564079 -23.2107636)",0.0012482725248682696,0.9985510728073471,Rua Chackler Elhage,,
1446671022,1454044940,0,312071903,True,,secondary,60,False,55.304,"LINESTRING (-45.8569899 -23.2107427, -45.8569819 -23.2104375, -45.8569805 -23.2103828, -45.8569939 -23.210246)",0.06618770879018895,0.9968369936874301,Avenida dos Astronautas,,
1446671027,1446670972,0,772037051,True,,secondary,60,False,66.198,"LINESTRING (-45.8656856 -23.1955056, -45.8658229 -23.1949238)",0.0038535357684293856,,Avenida dos Astronautas,,
