u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,junction,bridge
1453977329,1453977308,0,132114033,False,Rua Madre Maria Gema de Jesus,residential,,True,54.402,"LINESTRING (-45.8567843 -23.2000149, -45.8571012 -23.200408)",0.002100304339110309,,,
1453977330,1453990675,0,132115207,False,Rua Capricórnio,residential,,False,45.026,"LINESTRING (-45.8570057 -23.2052802, -45.8566103 -23.2051016)",0.0025490526761643697,0.9995107497313733,,
1453977330,1453987113,0,132115207,False,Rua Capricórnio,residential,,True,61.792,"LINESTRING (-45.8570057 -23.2052802, -45.8574799 -23.2055025, -45.8575443 -23.2055327)",0.002691299178152418,0.9994623563564384,,
1453977330,1453979257,0,819285517,False,Rua Fênix,residential,,True,62.677,"LINESTRING (-45.8570057 -23.2052802, -45.8570366 -23.2052215, -45.8572779 -23.2047751)",0.0020003726826754555,0.999583553771841,,
1453977331,1453979234,0,132114041,False,Rua Centaurus,residential,,False,64.774,"LINESTRING (-45.8571401 -23.2022029, -45.8566703 -23.2025939)",0.00403469429253968,0.9994057815051253,,
1453977331,1453977294,0,877826628,True,Rua Centaurus,residential,,False,55.134,"LINESTRING (-45.8571401 -23.2022029, -45.8575353 -23.2018654)",0.003311584461937219,,,
1453977333,1453987206,0,448351874,False,Rua Centaurus,residential,,True,150.892,"LINESTRING (-45.8522207 -23.2064313, -45.8532924 -23.2054979)",0.0030018750378146136,0.9996095705289433,,
1453977333,1453990700,0,448351880,False,Rua Saturno,residential,,False,79.084,"LINESTRING (-45.8522207 -23.2064313, -45.8528467 -23.2068494)",0.0008050498618398888,0.9997351714493111,,
1453977333,1453987228,0,448351880,False,Rua Saturno,residential,,True,57.691,"LINESTRING (-45.8522207 -23.2064313, -45.8520359 -23.2062767, -45.8518351 -23.2060541)",0.001213968768264652,0.9997263126451568,,
1453979232,1453979238,0,819285517,False,Rua Fênix,residential,,False,61.886,"LINESTRING (-45.8580947 -23.2032541, -45.8578272 -23.2037534)",0.0019807538423286942,0.9997096363979333,,
1453979232,1453977291,0,819285517,False,Rua Fênix,residential,,True,53.743,"LINESTRING (-45.8580947 -23.2032541, -45.8583367 -23.202825)",0.005618719450240627,,,
1453979232,1453979234,0,132114092,False,Rua Taurus,residential,,False,163.03799999999998,"LINESTRING (-45.8580947 -23.2032541, -45.8567299 -23.2026216, -45.8566703 -23.2025939)",0.003585205849550778,0.9995953244944715,,
1453979234,1453979239,0,132114041,False,Rua Centaurus,residential,,False,65.543,"LINESTRING (-45.8566703 -23.2025939, -45.8562027 -23.2029973)",0.002814658994270979,0.9994563542854081,,
1453979234,1453977331,0,132114041,False,Rua Centaurus,residential,,True,64.774,"LINESTRING (-45.8566703 -23.2025939, -45.8571401 -23.2022029)",0.0033941140299791075,,,
1453979234,1453979232,0,132114092,False,Rua Taurus,residential,,True,163.03799999999998,"LINESTRING (-45.8566703 -23.2025939, -45.8567299 -23.2026216, -45.8580947 -23.2032541)",0.003906783704419997,,,
1453979238,2024367591,0,819285517,False,Rua Fênix,residential,,False,63.367,"LINESTRING (-45.8578272 -23.2037534, -45.8575499 -23.2042631)",0.00396680879978856,0.9996373967973189,,
1453979238,1453979232,0,819285517,False,Rua Fênix,residential,,True,61.886,"LINESTRING (-45.8578272 -23.2037534, -45.8580947 -23.2032541)",0.0018909773381133059,,,
1453979238,1453979239,0,132114093,False,Rua Áries,residential,,False,186.09900000000002,"LINESTRING (-45.8578272 -23.2037534, -45.8562522 -23.2030204, -45.8562027 -23.2029973)",0.0014091287464794598,0.999932013828584,,
1453979239,1453979234,0,132114041,False,Rua Centaurus,residential,,True,65.543,"LINESTRING (-45.8562027 -23.2029973, -45.8566703 -23.2025939)",0.0025093245106953374,,,
1453979239,1453979243,0,132114041,False,Rua Centaurus,residential,,False,66.345,"LINESTRING (-45.8562027 -23.2029973, -45.855778 -23.2033537, -45.8557231 -23.2033994)",0.0033510028449515415,0.9992606144457818,,
1453979239,1453979238,0,132114093,False,Rua Áries,residential,,True,186.09900000000002,"LINESTRING (-45.8562027 -23.2029973, -45.8562522 -23.2030204, -45.8578272 -23.2037534)",0.0015568599184074227,,,
1453979243,1453979239,0,132114041,False,Rua Centaurus,residential,,True,66.345,"LINESTRING (-45.8557231 -23.2033994, -45.855778 -23.2033537, -45.8562027 -23.2029973)",0.0032070674574195563,,,
1453979243,2024367591,0,132114094,False,Rua Aquarius,residential,,True,209.953,"LINESTRING (-45.8557231 -23.2033994, -45.8557895 -23.2034308, -45.8575499 -23.2042631)",0.007696821680746035,0.9988683793324817,,
1453979243,1453987165,0,448342032,False,Rua Aquarius,residential,,False,57.056000000000004,"LINESTRING (-45.8557231 -23.2033994, -45.8556677 -23.2033538, -45.8553072 -23.2030571)",0.004082211098632262,0.9977982691196599,,
1453979243,1453979262,0,448342050,False,Rua Centaurus,residential,,False,68.009,"LINESTRING (-45.8557231 -23.2033994, -45.8556683 -23.2034508, -45.8552445 -23.2038243)",0.0024597230545511093,0.9995857586501653,,
1453979249,2024367592,0,132114094,False,Rua Aquarius,residential,,False,63.222,"LINESTRING (-45.858645 -23.204768, -45.8580922 -23.2045128)",0.007242287182238181,0.9997957986779963,,
1453979249,2024367597,0,132115201,False,Rua Lupus,residential,,False,126.252,"LINESTRING (-45.858645 -23.204768, -45.8580931 -23.2057838)",0.014013537697162983,0.9995251564276671,,
1453979249,1453987117,0,132115201,False,Rua Lupus,residential,,True,114.296,"LINESTRING (-45.858645 -23.204768, -45.859109 -23.2039102, -45.8591431 -23.2038477)",0.0060114268639957676,0.9996461661274025,,
1453979250,1453987149,0,448342032,False,Rua Aquarius,residential,,False,78.859,"LINESTRING (-45.8546211 -23.2023909, -45.8540935 -23.2018734)",0.0021139722632259944,0.9964525837673559,,
1453979250,1453987150,0,448342032,False,Rua Aquarius,residential,,True,50.356,"LINESTRING (-45.8546211 -23.2023909, -45.8549598 -23.2027198)",0.0034109082814907225,0.9995997922271711,,
1453979250,2061113646,0,448346524,False,Rua Orlando Saes,residential,,True,130.351,"LINESTRING (-45.8546211 -23.2023909, -45.8555553 -23.2015928)",0.004701273862531256,0.9991640853847596,,
1453979250,2061127780,0,670135221,False,Rua Orlando Saes,residential,,False,212.551,"LINESTRING (-45.8546211 -23.2023909, -45.8531043 -23.2036987)",0.0043085856199386405,0.9987773275597559,,
