u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,junction,bridge
1453957518,1453958828,0,132113017,False,,Rua Brasílio Cursino,residential,,False,97.276,"LINESTRING (-45.8634198 -23.1983083, -45.8625623 -23.1979287)",0.008543594537051474,0.9981833014547096,,
1453957518,1453961350,0,132113017,False,,Rua Brasílio Cursino,residential,,True,71.578,"LINESTRING (-45.8634198 -23.1983083, -45.8640501 -23.1985889)",0.02076676013917017,0.998419950967233,,
1453957518,1453950300,0,132214760,False,,Rua Teodomiro Costa,residential,,True,117.254,"LINESTRING (-45.8634198 -23.1983083, -45.8639127 -23.1973561)",0.010464826643125485,,,
1453958821,1453950300,0,132112834,False,,Rua Edésio José de Melo,residential,,True,59.782,"LINESTRING (-45.8633836 -23.1971269, -45.8639127 -23.1973561)",0.015398608298281146,,,
1453958821,1453960064,0,132112940,False,,Rua José Martins Xavier,residential,,True,23.356,"LINESTRING (-45.8633836 -23.1971269, -45.863447 -23.1969251)",0.008908881618805289,0.998191734699812,,
1453958821,1453960082,0,132214757,False,,Rua José Martins Xavier,residential,,False,31.711,"LINESTRING (-45.8633836 -23.1971269, -45.8631433 -23.1973073)",0.0026232538817053653,0.9995295969452588,,
1453958828,1453957518,0,132113017,False,,Rua Brasílio Cursino,residential,,True,97.276,"LINESTRING (-45.8625623 -23.1979287, -45.8634198 -23.1983083)",0.008616295373111076,,,
1453958828,1453960087,0,132214757,False,,Rua José Martins Xavier,residential,,True,39.286,"LINESTRING (-45.8625623 -23.1979287, -45.8626554 -23.1978709, -45.8628366 -23.1976844)",0.004898859289262792,0.9992621862708863,,
1453958828,1454889053,0,132214758,False,,Rua das Cidreiras,residential,,False,156.253,"LINESTRING (-45.8625623 -23.1979287, -45.8623617 -23.1979408, -45.8622149 -23.1979044, -45.8611533 -23.1974399)",0.0018793166121410397,0.9972145138996735,,
1453960044,1453960056,0,132112940,False,,Rua José Martins Xavier,residential,,False,50.521,"LINESTRING (-45.863782 -23.1960891, -45.8636128 -23.196516)",0.0037966799951532778,0.9996213387055175,,
1453960044,1453950122,0,132112940,False,,Rua José Martins Xavier,residential,,True,143.519,"LINESTRING (-45.863782 -23.1960891, -45.8638344 -23.1959486, -45.8642372 -23.1948681)",9.148188537501514e-05,,,
1453960044,1453960046,0,132112966,False,,Rua das Macieiras,residential,,False,170.725,"LINESTRING (-45.863782 -23.1960891, -45.8623625 -23.1955328, -45.8622353 -23.1955296)",0.0018793166121410397,0.9976935626973974,,
1453960046,1453960044,0,132112966,False,,Rua das Macieiras,residential,,True,170.725,"LINESTRING (-45.8622353 -23.1955296, -45.8623625 -23.1955328, -45.863782 -23.1960891)",0.0018938567793529626,,,
1453960056,1453960064,0,132112940,False,,Rua José Martins Xavier,residential,,False,48.544,"LINESTRING (-45.8636128 -23.196516, -45.863447 -23.1969251)",0.007491821155943293,0.9991357093785264,,
