u,v,key,osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,ebc,vulnerability,maxspeed,bridge,junction
1434874912,4034132023,0,655682829,False,,,Rua Estocolmo,tertiary,True,42.704,"LINESTRING (-45.8778672 -23.1983989, -45.8781526 -23.1981184)",0.004779347077855709,0.9998630614214524,,,
1434875366,8234382392,0,130191562,False,,,Rua Madrid,residential,False,66.584,"LINESTRING (-45.8774668 -23.1972824, -45.8768361 -23.1974324)",0.008558201105271212,0.999441198122099,,,
1434875366,1434874897,0,310604877,True,,,Praça Londres,residential,False,99.118,"LINESTRING (-45.8774668 -23.1972824, -45.8772352 -23.1964168)",0.0014990196322642402,,,,
1434875366,1434877844,0,310604878,False,,,Rua Atenas,residential,False,38.068,"LINESTRING (-45.8774668 -23.1972824, -45.8775918 -23.1976049)",0.001893787016662145,0.9996791327100446,,,
1434875366,2024367569,0,310604880,False,,,Rua Madrid,residential,True,49.510999999999996,"LINESTRING (-45.8774668 -23.1972824, -45.8776456 -23.1971408, -45.8778354 -23.1969935)",0.0040517887930144126,0.9998770816696183,,,
1434875367,8234382392,0,448345139,False,,,Avenida Samuel Wainer,secondary,True,2.897,"LINESTRING (-45.8768433 -23.1974576, -45.8768361 -23.1974324)",0.0208562250547255,0.9982849675727833,60,,
1434875367,1434786526,0,249535522,True,,,Avenida Samuel Wainer,secondary,False,67.124,"LINESTRING (-45.8768433 -23.1974576, -45.8769844 -23.1978329, -45.8770966 -23.1980119)",0.00048261158701096493,,,,
1434877823,1434874889,0,130191324,True,,,Rua Berna,residential,False,75.103,"LINESTRING (-45.8783005 -23.1965729, -45.8778824 -23.1961507, -45.8778059 -23.1960734)",0.0026080865807643905,,,,
1434877823,2024367569,0,130192318,False,,,Rua Madrid,residential,False,66.686,"LINESTRING (-45.8783005 -23.1965729, -45.8782454 -23.1966227, -45.8778749 -23.1969577, -45.8778354 -23.1969935)",1.660635003101829e-05,0.9999297846942328,,,
1434877835,4034132023,0,130192321,False,,,Praça Paris,residential,False,48.534,"LINESTRING (-45.8784804 -23.1984342, -45.8781526 -23.1981184)",0.0022560912684997706,0.9998913369298493,,,
1434877835,3160459082,0,665672388,True,,,Avenida Lisboa,tertiary,False,71.974,"LINESTRING (-45.8784804 -23.1984342, -45.8782494 -23.1984548, -45.877995 -23.1984861, -45.877938 -23.198538, -45.8779147 -23.1986065, -45.8779167 -23.198659)",0.00015577762511222051,0.9999678342276593,,,
1434877844,4034132023,0,130192321,False,,,Praça Paris,residential,True,80.904,"LINESTRING (-45.8775918 -23.1976049, -45.8781526 -23.1981184)",0.00041463569604215897,0.9998660953580815,,,
1434877844,1434875366,0,310604878,False,,,Rua Atenas,residential,True,38.068,"LINESTRING (-45.8775918 -23.1976049, -45.8774668 -23.1972824)",0.007089725295385451,,,,
1434877844,3160459076,0,804502183,False,,,Praça Londres,residential,False,74.714,"LINESTRING (-45.8775918 -23.1976049, -45.8777529 -23.1982603)",0.0007526235067629361,0.998677740914061,,,
1434891758,3192010022,0,130569515,True,,,Rua José Francisco Monteiro,residential,False,11.767,"LINESTRING (-45.8791652 -23.1928552, -45.8790768 -23.192923)",0.0030075286074033487,0.9999892695596643,,,
1434891758,2156454186,0,313291503,True,,,Rua Itororó,tertiary,False,29.789,"LINESTRING (-45.8791652 -23.1928552, -45.8793478 -23.193064)",0.0007526235067629361,0.999970085207843,,,
1437624917,1437627821,0,130569346,False,,,Rua Coronel Pacheco Neto,residential,False,42.766,"LINESTRING (-45.878994 -23.1904357, -45.8786393 -23.1902317)",0.0007549958424816532,0.9987870382298638,,,
1437624924,1437624931,0,130569352,True,,,Rua Ademar Guedes de Oliveira,residential,False,12.136,"LINESTRING (-45.8785205 -23.1926114, -45.8785743 -23.1925141)",1.3047846452942942e-05,0.9999828312954618,,,
1437624924,3192010020,0,789762333,True,,,Rua Itororó,tertiary,False,31.243,"LINESTRING (-45.8785205 -23.1926114, -45.8784443 -23.1925351, -45.8783138 -23.1924044)",0.003754221274869493,0.9998797000682818,,,
1437624926,3192010020,0,130569349,False,,,Rua Itororó,tertiary,False,102.437,"LINESTRING (-45.8774842 -23.1918875, -45.8783138 -23.1924044)",0.005597188526691015,0.9994612803171021,,,
1437624926,1437641687,0,130569349,False,,,Rua Itororó,tertiary,True,32.92,"LINESTRING (-45.8774842 -23.1918875, -45.8773547 -23.1918065, -45.8773204 -23.1917851, -45.877241 -23.1917345, -45.8772179 -23.191721)",0.00603167768588366,0.9986013111650981,,,
1437624927,1437646780,0,789762332,True,,,Rua Genésia Berardineli Tarantino,secondary,False,80.563,"LINESTRING (-45.8767407 -23.1913914, -45.8762201 -23.1919354)",0.025436543911201103,0.9988814820777825,,,
