osmid,y,x,street_count,dc,cc,nbc,vulnerability,com,highway,ref,geometry
1454052757,-23.2141809,-45.8442382,3,0.004615384615384615,0.03893181828783066,0.00328117833202579,1.0004298981934758,0.03123904218251585,,,POINT (-45.8442382 -23.2141809)
1454052767,-23.215828,-45.8437834,3,0.006153846153846154,0.037973893380529686,0.01203863932677492,1.000275392350293,0.03152129135644944,,,POINT (-45.8437834 -23.215828)
1454052772,-23.2160525,-45.8437499,3,0.004615384615384615,0.03660554281228208,0.007620007111532536,1.0005745361603857,0.030676786106367704,,,POINT (-45.8437499 -23.2160525)
1454052778,-23.2161252,-45.8437246,3,0.004615384615384615,0.03531488533468732,0.007596302003081664,1.0007242980207733,0.029006975000611283,,,POINT (-45.8437246 -23.2161252)
1454052784,-23.21634,-45.84366,3,0.006153846153846154,0.03412664728563309,0.003034253881711509,0.9989061125195985,0.024382352220817614,,,POINT (-45.84366 -23.21634)
1454052794,-23.2160183,-45.8436683,3,0.004615384615384615,0.036576346800240155,0.0015680929240251276,1.0006443570626724,0.031110297147118604,,,POINT (-45.8436683 -23.2160183)
1454052801,-23.2160971,-45.8436301,3,0.004615384615384615,0.03300897765473601,0.00750148156927818,1.0001092211894895,0.031323661367273124,,,POINT (-45.8436301 -23.2160971)
1454052817,-23.2161129,-45.8436404,3,0.004615384615384615,0.03413390480007525,0.0075251866777290505,1.000462314504491,0.02911670579251964,,,POINT (-45.8436404 -23.2161129)
1454052828,-23.216044,-45.8434693,3,0.006153846153846154,0.03944366992594553,0.011943818892971437,0.999363237359146,0.03368130438072905,,,POINT (-45.8434693 -23.216044)
1454052866,-23.2153889,-45.8409662,3,0.006153846153846154,0.04490938831733459,0.1169218164133417,0.994146175736232,0.036317643273116734,,,POINT (-45.8409662 -23.2153889)
1454060955,-23.2133262,-45.841706,3,0.006153846153846154,0.040908921586887685,0.08056982172082319,0.9995380173707304,0.02797459446054771,,,POINT (-45.841706 -23.2133262)
1454060964,-23.2151818,-45.8407967,4,0.007692307692307693,0.03918128984405073,0.08018549418395331,0.9952846263619085,0.03670665158825672,,,POINT (-45.8407967 -23.2151818)
1454060966,-23.2155301,-45.8407074,3,0.004615384615384615,0.04076087965110884,0.07870155439492876,0.9981305635222782,0.03445584143116839,,,POINT (-45.8407074 -23.2155301)
1454060972,-23.2158608,-45.8406355,4,0.00923076923076923,0.04076087965110884,0.09924024853762903,0.9981370607169032,0.04270844322901909,,,POINT (-45.8406355 -23.2158608)
1454061025,-23.2151731,-45.8409228,3,0.004615384615384615,0.04470612181495825,0.010069297933704714,0.9979356791667456,0.03434710961704647,,,POINT (-45.8409228 -23.2151731)
1454061043,-23.2155342,-45.8408437,3,0.006153846153846154,0.04347109590254015,0.1085364455780479,0.9977851723869918,0.032347690225856644,,,POINT (-45.8408437 -23.2155342)
1454061047,-23.2155607,-45.8407947,3,0.004615384615384615,0.04165744973946375,0.05731982415803676,0.9999839791946029,0.03505124810198622,,,POINT (-45.8407947 -23.2155607)
1454061059,-23.2173386,-45.8394695,3,0.004615384615384615,0.03952866736760346,0.11625254047442027,0.9961778257159828,0.03449151733888061,,,POINT (-45.8394695 -23.2173386)
1454061077,-23.2150077,-45.8396493,1,0.003076923076923077,0.037697411507522476,0.0,1.0003032215739558,0.013058210032266789,,,POINT (-45.8396493 -23.2150077)
1454061088,-23.2159366,-45.840835,3,0.00923076923076923,0.04207790112626919,0.051896958032551205,0.997433830381019,0.02863681304235903,,,POINT (-45.840835 -23.2159366)
1454061106,-23.2169198,-45.8403945,1,0.003076923076923077,0.040371289403547464,0.0,1.0004010691556535,0.0107320956320702,turning_circle,,POINT (-45.8403945 -23.2169198)
1454061109,-23.2171993,-45.8409181,1,0.003076923076923077,0.04080751384889184,0.0,1.000555935587125,0.010313192004514797,turning_circle,,POINT (-45.8409181 -23.2171993)
1454061111,-23.216665,-45.8414412,3,0.00923076923076923,0.0425520026103271,0.003034253881711509,0.9977933423205823,0.027095487669255573,,,POINT (-45.8414412 -23.216665)
1454061125,-23.2164974,-45.841635,3,0.00923076923076923,0.042622625996455915,0.00030453162656552486,1.000062103697839,0.03568829991560889,,,POINT (-45.841635 -23.2164974)
1454061142,-23.2136448,-45.8440208,3,0.00923076923076923,0.04580981914981202,0.03908010633434406,0.9980562280166868,0.0372507958883217,,,POINT (-45.8440208 -23.2136448)
1454061151,-23.2131636,-45.8437309,3,0.00923076923076923,0.04782662510314477,0.17726304956813446,0.992766092552347,0.036835793066556224,,,POINT (-45.8437309 -23.2131636)
1454061177,-23.2154606,-45.8414461,4,0.012307692307692308,0.046412536353980724,0.14918699379716238,0.9940431859343029,0.048845570326923014,,,POINT (-45.8414461 -23.2154606)
1454061179,-23.2164272,-45.8414689,3,0.00923076923076923,0.04436322660203257,0.006850990817092595,0.999734847271244,0.03529202795674166,,,POINT (-45.8414689 -23.2164272)
1454061211,-23.2147707,-45.8441401,3,0.00923076923076923,0.039455790031011274,0.01822283178215388,0.9995964669805242,0.03370412474218076,,,POINT (-45.8441401 -23.2147707)
1454061244,-23.2175782,-45.8421511,1,0.003076923076923077,0.0394146120317156,0.0,1.0005361068015963,0.013882673883690936,turning_circle,,POINT (-45.8421511 -23.2175782)
1454061261,-23.2156652,-45.842574,4,0.012307692307692308,0.04271905086064378,0.053705115976302606,0.9931603785029072,0.04420264823658617,,,POINT (-45.842574 -23.2156652)
1454061284,-23.2173881,-45.8415126,1,0.003076923076923077,0.04096112130819289,0.0,1.000401545040329,0.014709538547485145,turning_circle,,POINT (-45.8415126 -23.2173881)
1454061305,-23.2178307,-45.8426844,1,0.003076923076923077,0.032995406279402575,0.0,1.0010694778707572,0.009825453328181893,turning_circle,,POINT (-45.8426844 -23.2178307)
1454067830,-23.2146425,-45.8408859,3,0.006153846153846154,0.037732860146025,0.07208671161059446,0.997139497611096,0.02862471097119751,,,POINT (-45.8408859 -23.2146425)
1454067832,-23.2144831,-45.8399018,1,0.003076923076923077,0.03635473473299068,0.0,1.000405126101826,0.010850215927184489,turning_circle,,POINT (-45.8399018 -23.2144831)
1454067838,-23.2139775,-45.8412058,4,0.00923076923076923,0.04444922565664742,0.08370853611377486,0.9962971656786631,0.03574765824509605,,,POINT (-45.8412058 -23.2139775)
1454067843,-23.214043,-45.8400556,1,0.003076923076923077,0.0425491825425552,0.0,1.000338466137161,0.012901907904971659,turning_circle,,POINT (-45.8400556 -23.214043)
1454067867,-23.2134736,-45.8402262,1,0.003076923076923077,0.03929640196992382,0.0,1.0005460927778342,0.009884293054729484,turning_circle,,POINT (-45.8402262 -23.2134736)
1454067877,-23.2128593,-45.8405741,1,0.003076923076923077,0.03784629894981227,0.0,1.000340077797782,0.009799979570389224,,,POINT (-45.8405741 -23.2128593)
1454067932,-23.210621,-45.8425219,3,0.00923076923076923,0.04036875096734252,0.06224961479198768,0.9524660060804847,0.02805008198144481,,,POINT (-45.8425219 -23.210621)
1454067970,-23.2132189,-45.837389,3,0.00923076923076923,0.036078933148896625,0.012094346331634467,0.9914401347417425,0.02033107249818097,,,POINT (-45.837389 -23.2132189)
1454067981,-23.2157407,-45.8355624,3,0.00923076923076923,0.03482450723500843,0.0060637667417328435,0.9961607830780363,0.016347505755872318,,,POINT (-45.8355624 -23.2157407)
1454071098,-23.2052836,-45.831348,3,0.00923076923076923,0.03739223153084539,0.00908379755837383,0.9930166060960877,0.019102122085744442,,,POINT (-45.831348 -23.2052836)
1454071110,-23.2064078,-45.8315022,3,0.006153846153846154,0.03604247546087775,0.003034253881711509,0.9981628120261987,0.011934935690647495,,,POINT (-45.8315022 -23.2064078)
1454071117,-23.2098232,-45.8295563,1,0.003076923076923077,0.03478300007501438,0.0,1.0007038803544674,0.006543347293798958,,,POINT (-45.8295563 -23.2098232)
1454075659,-23.2281813,-45.8439986,3,0.006153846153846154,0.003956043956043956,0.007585634704278772,0.9911963106365643,0.022694667246357877,,,POINT (-45.8439986 -23.2281813)
1454075661,-23.2281973,-45.8434933,3,0.006153846153846154,0.005034965034965035,0.006087471850183715,0.9933543660306805,0.015974196391511652,,,POINT (-45.8434933 -23.2281973)
1454075678,-23.2284719,-45.8423694,3,0.006153846153846154,0.0042603550295857995,0.0015360910276164513,0.9992170185963374,0.011197970826542883,,,POINT (-45.8423694 -23.2284719)
1454075680,-23.2285748,-45.8421652,3,0.003076923076923077,0.003076923076923077,0.0,1.0011953893802987,0.006396877523580224,,,POINT (-45.8421652 -23.2285748)
1454139110,-23.2199371,-45.850275,3,0.00923076923076923,0.05450586767846297,0.15202670058179926,0.9608111083615978,0.03418183227548509,,,POINT (-45.850275 -23.2199371)
1454185783,-23.2106983,-45.8478145,3,0.006153846153846154,0.05381597781933071,0.003939747739913648,0.9991254777623343,0.03477018115827523,,,POINT (-45.8478145 -23.2106983)
1454203444,-23.215559,-45.8420206,4,0.012307692307692308,0.044510857971756475,0.05927623412369219,0.9947415858778529,0.05078704992312923,,,POINT (-45.8420206 -23.215559)
1454203501,-23.2158977,-45.843138,4,0.012307692307692308,0.041039671144503666,0.0388091381311719,0.9944081191363029,0.040444881893279716,,,POINT (-45.843138 -23.2158977)
1454248242,-23.2055891,-45.8563362,4,0.012307692307692308,0.05061289833540523,0.043536451959910016,0.9978403376295145,0.05463232466668554,,,POINT (-45.8563362 -23.2055891)
1454889053,-23.1974399,-45.8611533,1,0.003076923076923077,0.036256190161769564,0.0,1.0006176423243385,0.009678902597419131,turning_circle,,POINT (-45.8611533 -23.1974399)
1454899412,-23.1954324,-45.8644229,3,0.007692307692307693,0.03580928191112809,0.0019493331527229848,1.0003620384856657,0.03672546909928028,,,POINT (-45.8644229 -23.1954324)
1454899416,-23.1953022,-45.8642615,3,0.006153846153846154,0.03581327692221874,0.0023571118147389337,1.0002733167772853,0.03622660302555646,,,POINT (-45.8642615 -23.1953022)
1455087455,-23.201609,-45.8625557,3,0.004615384615384615,0.03873217998217998,0.10200603214624787,0.9889105958499803,0.038683938552343276,,,POINT (-45.8625557 -23.201609)
1455087457,-23.2005619,-45.8636349,3,0.004615384615384615,0.025291495583400252,0.07583264193433685,0.9918443406967536,0.03773096065786232,,,POINT (-45.8636349 -23.2005619)
1455133624,-23.2057939,-45.860633,3,0.004615384615384615,0.04242546853793797,0.12510607557648368,0.9753698366588596,0.025693546766540332,,,POINT (-45.860633 -23.2057939)
1487272080,-23.2282587,-45.8443112,3,0.003076923076923077,0.0,0.0,1.0006754018924227,0.01816513216153476,,,POINT (-45.8443112 -23.2282587)
2024367581,-23.2010985,-45.8597549,4,0.012307692307692308,0.046079424056887634,0.07370707171851054,0.9946946517222212,0.046499563470521525,,,POINT (-45.8597549 -23.2010985)
2024367591,-23.2042631,-45.8575499,4,0.012307692307692308,0.0459935966318945,0.016865735946561558,0.9986749657652145,0.05473747874648979,,,POINT (-45.8575499 -23.2042631)
2024367592,-23.2045128,-45.8580922,4,0.012307692307692308,0.04789441368031446,0.02647061329490507,0.9984296179324716,0.05277976232837708,,,POINT (-45.8580922 -23.2045128)
2024367597,-23.2057838,-45.8580931,4,0.012307692307692308,0.05158896065766295,0.09293239400879001,0.9968619309671336,0.04915435290136845,,,POINT (-45.8580931 -23.2057838)
2061113644,-23.1931061,-45.8683009,1,0.003076923076923077,0.03209641630678475,0.0,1.0006816888480798,0.00980792308179219,,,POINT (-45.8683009 -23.1931061)
2061113646,-23.2015928,-45.8555553,4,0.012307692307692308,0.03985750033428206,0.008184994832748968,0.9971208605869146,0.04583337656265353,,,POINT (-45.8555553 -23.2015928)
2061113647,-23.2019377,-45.855893,4,0.012307692307692308,0.0410527920829091,0.007826240585435348,0.9995024858942227,0.049746869431130596,,,POINT (-45.855893 -23.2019377)
2061113648,-23.2055854,-45.8548991,4,0.012307692307692308,0.04941691928760894,0.04729051563972649,0.9978222889630924,0.059361683082343214,,,POINT (-45.8548991 -23.2055854)
2061113649,-23.2061036,-45.8546189,4,0.012307692307692308,0.0471487563622395,0.010187038747323325,0.999146076002314,0.05189309393651394,,,POINT (-45.8546189 -23.2061036)
2061113650,-23.2061022,-45.8560564,4,0.012307692307692308,0.05164290664290665,0.06702164427028452,0.9967684865944986,0.05996972625111762,,,POINT (-45.8560564 -23.2061022)
2061113651,-23.2066469,-45.8557642,4,0.012307692307692308,0.04917091333266565,0.007008727960022431,0.9988840045225604,0.052121342261060764,,,POINT (-45.8557642 -23.2066469)
2061113653,-23.2122203,-45.8564832,4,0.012307692307692308,0.054151873767258385,0.006984862730905691,0.9992921169142884,0.05987705321776885,,,POINT (-45.8564832 -23.2122203)
2061113654,-23.2122506,-45.8558771,4,0.012307692307692308,0.055548071931529275,0.08284863443275042,0.9966360311294093,0.05902719308915017,,,POINT (-45.8558771 -23.2122506)
