u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge,tunnel,width,access,junction,est_width
20944551,158844513,0,914039011,True,2,Rua Frederico Abranches,tertiary,,False,135.69,"LINESTRING (-46.6513228 -23.538894, -46.6502894 -23.539597, -46.6502532 -23.5396203)",,,,,,,
20944552,20944551,0,8307075,False,,Rua Fortunato,residential,,True,164.142,"LINESTRING (-46.6517752 -23.5403107, -46.6517558 -23.5402497, -46.6513463 -23.5389693, -46.6513228 -23.538894)",,,,,,,
20944552,20944553,0,27238807,True,,Rua Canuto do Val,residential,,False,93.569,"LINESTRING (-46.6517752 -23.5403107, -46.6518333 -23.5402937, -46.6525596 -23.5400916, -46.6526531 -23.5400651)",,,,,,,
20944553,444959880,0,27238807,True,,Rua Canuto do Val,residential,,False,42.455,"LINESTRING (-46.6526531 -23.5400651, -46.65275 -23.5400384, -46.6528885 -23.5399992, -46.6529757 -23.5399772, -46.6530533 -23.5399598)",,,,,,,
20944553,20944554,0,904937317,True,,Rua Aureliano Coutinho,residential,,False,180.238,"LINESTRING (-46.6526531 -23.5400651, -46.6531621 -23.5415632, -46.6531738 -23.5416139)",,,,,,,
20944554,158844839,0,8307077,True,2,Rua Aureliano Coutinho,tertiary,,False,121.303,"LINESTRING (-46.6531738 -23.5416139, -46.6531782 -23.541669, -46.6531805 -23.5417123, -46.6531829 -23.5426144, -46.6531842 -23.5427046)",,,,,,,
20944554,158843385,0,230629152,True,2,Rua Jaguaribe,tertiary,,False,97.54899999999999,"LINESTRING (-46.6531738 -23.5416139, -46.6530739 -23.5416161, -46.6522173 -23.5416398)",,,,,,,
20944556,1944434945,0,"[935544123, 8307079]",True,"['3', '2']",Rua Sabará,tertiary,,False,132.553,"LINESTRING (-46.6552234 -23.5477074, -46.655267 -23.5477928, -46.6556554 -23.5485523, -46.6557398 -23.5487086, -46.6557807 -23.5487844)",,,,,,,
20944556,444959901,0,37909804,True,,Rua Alagoas,residential,,False,159.088,"LINESTRING (-46.6552234 -23.5477074, -46.6553401 -23.547658, -46.6565328 -23.5471553, -46.6566413 -23.5471096)",,,,,,,
25777925,293820409,0,242534891,True,,Rua General Flores,residential,,False,44.21,"LINESTRING (-46.6433446 -23.5207514, -46.6432678 -23.5211427)",,,,,,,
25777925,25777928,0,584709941,True,3,Avenida Presidente Castelo Branco,trunk,50,False,68.548,"LINESTRING (-46.6433446 -23.5207514, -46.6426901 -23.5208924)",BR-050,,,,,,
25777928,1970494500,0,584709941,True,3,Avenida Presidente Castelo Branco,trunk,50,False,79.077,"LINESTRING (-46.6426901 -23.5208924, -46.6423365 -23.5209647, -46.6419331 -23.5210472)",BR-050,,,,,,
25777939,25777946,0,584709942,True,5,Avenida Presidente Castelo Branco (Local),trunk,60,False,182.732,"LINESTRING (-46.6344226 -23.5193276, -46.6338073 -23.5193556, -46.6326351 -23.5194442)",,,,,,,
25777943,25777939,0,157803270,True,2,Avenida Presidente Castelo Branco (Local),trunk,60,False,186.72,"LINESTRING (-46.6361611 -23.5197443, -46.6361032 -23.5197002, -46.6360053 -23.5196372, -46.6359294 -23.5195935, -46.6358551 -23.5195576, -46.6357621 -23.5195196, -46.6356677 -23.519488, -46.6355826 -23.5194637, -46.6354999 -23.5194452, -46.6353929 -23.5194251, -46.6352528 -23.519407, -46.6350433 -23.5193869, -46.6348148 -23.5193766, -46.6346731 -23.5193662, -46.6344226 -23.5193276)",,,,,,,
25777946,5588633745,0,4328342,True,2,,trunk_link,60,False,162.93,"LINESTRING (-46.6326351 -23.5194442, -46.6325208 -23.5194475, -46.632434 -23.5194442, -46.6322918 -23.5194515, -46.6320933 -23.5194675, -46.6318788 -23.5195056, -46.6317071 -23.5195456, -46.6315368 -23.5195917, -46.6313879 -23.5196323, -46.6312779 -23.5196569, -46.63118 -23.5196729, -46.6310667 -23.5196624)",,,,,,,
25777946,25777984,0,584709943,True,3,Avenida Presidente Castelo Branco (Local),trunk,60,False,111.918,"LINESTRING (-46.6326351 -23.5194442, -46.6322149 -23.5195193, -46.6315649 -23.5196667)",,,,,,,
