u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,name,bridge,ref,tunnel,width,access,junction,est_width
25928388,60734206,0,"[934316905, 4331475]",True,4,secondary,,False,229.372,"LINESTRING (-46.6330324 -23.534495, -46.6327193 -23.5334094, -46.6325679 -23.5328844, -46.6325347 -23.5327822, -46.6324442 -23.5325041)",0.0027515878040342066,Avenida Tiradentes,,,,,,,
25928388,457055005,0,"[656931849, 38584787]",True,2,secondary,50,False,125.36000000000001,"LINESTRING (-46.6330324 -23.534495, -46.6329084 -23.534515, -46.6318189 -23.5346772)",0.0012200235546209364,Rua São Caetano,,,,,,,
25928438,2021790380,0,"[191591089, 866553011, 191591092]",True,3,secondary,50,False,60.004,"LINESTRING (-46.6337902 -23.5352466, -46.6338039 -23.5352893, -46.6339209 -23.5356662, -46.6339485 -23.5357663)",0.00705009047578151,Rua Brigadeiro Tobias,yes,,,,,,
25928439,2556256416,0,38584786,True,,residential,,False,391.557,"LINESTRING (-46.6331286 -23.5352713, -46.631535 -23.5354185, -46.630598 -23.5355033, -46.6297862 -23.5355907, -46.6296645 -23.5356052, -46.6295131 -23.535653, -46.6293311 -23.5357231)",0.008845207148335867,Rua Vinte e Cinco de Janeiro,,,,,,,
25928439,25928388,0,191591086,True,4,secondary,50,False,86.89500000000001,"LINESTRING (-46.6331286 -23.5352713, -46.6331017 -23.5349845, -46.6330324 -23.534495)",0.003972670735453439,Avenida Tiradentes,,,,,,,
25928614,25928439,0,191591086,True,4,secondary,50,False,11.418,"LINESTRING (-46.6331395 -23.5353735, -46.6331286 -23.5352713)",0.01281893726058774,Avenida Tiradentes,,,,,,,
25928755,60685894,0,8579810,True,3,primary,40,False,214.212,"LINESTRING (-46.634182 -23.5414795, -46.6339991 -23.5412465, -46.6339304 -23.5411214, -46.6338936 -23.5410183, -46.6338813 -23.5409191, -46.6338582 -23.5407157, -46.6338252 -23.5404405, -46.6337347 -23.5396351)",0.013321223938717031,Avenida Prestes Maia,,,,,,,
25928755,60685904,0,"[8579812, 522751870]",True,2,residential,40,False,117.929,"LINESTRING (-46.634182 -23.5414795, -46.6339994 -23.5413167, -46.6338564 -23.5411977, -46.6338031 -23.5411673, -46.6332553 -23.540853)",0.053980636377826706,Rua Carlos de Sousa Nazaré,,,,,,,
25928755,4228472161,0,"[49436034, 237876565, 49436030]",True,3,trunk,50,False,516.815,"LINESTRING (-46.634182 -23.5414795, -46.6340392 -23.5410017, -46.6340095 -23.5408561, -46.6338549 -23.539545, -46.6338076 -23.5389196, -46.6336016 -23.537239, -46.6335552 -23.536874)",0.042155397734271904,Avenida Prestes Maia,,,yes,,,,
25928842,60685898,0,"[779584032, 4331470, 48651838]",True,4,trunk,50,False,636.083,"LINESTRING (-46.6377089 -23.5468886, -46.6376866 -23.5468525, -46.6375872 -23.5467166, -46.6372901 -23.5463106, -46.6370899 -23.5460111, -46.6363483 -23.5448989, -46.6358258 -23.5441204, -46.6353367 -23.5433993, -46.6344803 -23.5419955)",0.07930500882994848,"['Avenida Prestes Maia', 'Túnel Papa João Paulo II']",,,yes,,,,
