u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,name,ref,bridge,tunnel,width,access,junction,est_width
1439849959,418517410,0,130808662,True,,residential,,False,147.191,"LINESTRING (-46.6144994 -23.5613982, -46.6139737 -23.561204, -46.6137157 -23.5611003, -46.6135479 -23.5610329, -46.6134842 -23.5610073, -46.6134003 -23.5609735, -46.6131704 -23.5608807)",0.027516786470411246,Rua Serra de Paracaina,,,,,,,
1439849964,1439849926,0,130808657,True,,residential,,False,79.85,"LINESTRING (-46.6133652 -23.5648209, -46.6135707 -23.5649208, -46.6140615 -23.56515)",0.011062284942067636,Rua Alexandrino da Silveira Bueno,,,,,,,
1448487425,1448487432,0,131630960,True,1,tertiary,40,False,20.32,"LINESTRING (-46.613639 -23.5677563, -46.6136405 -23.5676928, -46.6136401 -23.5676591, -46.6136386 -23.5676322, -46.6136337 -23.5676029, -46.6136249 -23.5675751)",0.001631485060853259,Rua Ouvidor Portugal,,,,,,,
1448487425,1448487438,0,928999343,False,2,tertiary,50,True,104.584,"LINESTRING (-46.613639 -23.5677563, -46.6135345 -23.5678311, -46.613399 -23.5679361, -46.6132301 -23.5680629, -46.6131559 -23.568133, -46.6130993 -23.5682133, -46.6129839 -23.5684541)",0.00021992258537327478,Rua Ouvidor Portugal,,,,,,,
1448487432,1938339516,0,237587397,True,3,secondary,40,False,40.76,"LINESTRING (-46.6136249 -23.5675751, -46.6132373 -23.5676654)",0.00570695323742442,Rua da Independência,,,,,,,
1448487436,1448487432,0,237587397,True,3,secondary,40,False,29.807,"LINESTRING (-46.6139096 -23.5675138, -46.6136249 -23.5675751)",0.004074951724046414,Rua da Independência,,,,,,,
1448487436,1448487425,0,131630963,True,1,tertiary,,False,38.608000000000004,"LINESTRING (-46.6139096 -23.5675138, -46.6138459 -23.5675761, -46.6137806 -23.5676362, -46.6137177 -23.5676949, -46.613639 -23.5677563)",0.00034765908367458213,Rua Ouvidor Portugal,,,,,,,
1448487438,443455475,0,621615820,False,,residential,,True,124.674,"LINESTRING (-46.6129839 -23.5684541, -46.6125011 -23.5694843)",0.00010458852230400077,Rua Doutor Inácio Arruda,,,,,,,
1448487438,1448487425,0,928999343,False,2,tertiary,50,False,104.584,"LINESTRING (-46.6129839 -23.5684541, -46.6130993 -23.5682133, -46.6131559 -23.568133, -46.6132301 -23.5680629, -46.613399 -23.5679361, -46.6135345 -23.5678311, -46.613639 -23.5677563)",0.0015032321100271594,Rua Ouvidor Portugal,,,,,,,
1448778060,296284738,0,27030031,False,,residential,,False,90.09299999999999,"LINESTRING (-46.6209142 -23.5680143, -46.6217069 -23.5678723, -46.6217816 -23.5678582)",0.002030164022011193,Rua Hermínio Lemos,,,,,,,
1448778060,8722417562,0,27030031,False,,residential,,True,37.827,"LINESTRING (-46.6209142 -23.5680143, -46.6205851 -23.5680709, -46.6205661 -23.5680747, -46.6205495 -23.5680774)",0.004225432583234356,Rua Hermínio Lemos,,,,,,,
1448778060,1448778140,0,131655863,True,,residential,,False,167.126,"LINESTRING (-46.6209142 -23.5680143, -46.6210829 -23.5687937, -46.6212246 -23.5694901)",0.0017277139907067181,Rua Félix Pola,,,,,,,
