osmid,y,x,highway,street_count,dc,cc,nbc,com,ref,geometry
176012605,-23.5528553,-46.6375428,,3,0.0008424599831508004,0.03549498000317164,0.00313050469733439,0.007877201745573745,,POINT (-46.6375428 -23.5528553)
176012607,-23.5537832,-46.6371963,,3,0.0008424599831508004,0.03574179137612578,0.009148658898398844,0.006675317873596066,,POINT (-46.6371963 -23.5537832)
176012608,-23.5539449,-46.6371586,,3,0.0008424599831508004,0.0344873439003938,0.0035063858809122527,0.005858859025617802,,POINT (-46.6371586 -23.5539449)
176013188,-23.555603,-46.6394752,traffic_signals,4,0.0016849199663016008,0.035627281129545864,0.012502926615292398,0.009317031681843913,,POINT (-46.6394752 -23.555603)
176013518,-23.5556801,-46.6383271,,3,0.0011232799775344005,0.035434731312757,0.014038466428650701,0.005665620113123662,,POINT (-46.6383271 -23.5556801)
176014739,-23.5552337,-46.6437061,,3,0.0011232799775344005,0.03045744607613522,0.0022756326674012455,0.0075106976822500214,,POINT (-46.6437061 -23.5552337)
176014741,-23.5554619,-46.6429868,traffic_signals,4,0.0011232799775344005,0.03237675783029548,0.011424883504103459,0.01093651145518232,,POINT (-46.6429868 -23.5554619)
176017405,-23.5583072,-46.6340262,traffic_signals,4,0.0016849199663016008,0.034020147845636055,0.009769925048502794,0.012917123775050766,,POINT (-46.6340262 -23.5583072)
176019578,-23.5597445,-46.6328451,,3,0.0014040999719180005,0.033258373711946114,0.003769853461477594,0.009575541856396887,,POINT (-46.6328451 -23.5597445)
176019579,-23.5613678,-46.6326978,traffic_signals,4,0.0016849199663016008,0.03288584701288312,0.009781024341191507,0.010777232037712567,,POINT (-46.6326978 -23.5613678)
176020582,-23.5601206,-46.632819,traffic_signals,4,0.0016849199663016008,0.0326204021278249,0.0035787811796509795,0.010489557427468536,,POINT (-46.632819 -23.5601206)
176020585,-23.5599194,-46.6312064,traffic_signals,4,0.0014040999719180005,0.03382367746773543,0.012611035740564774,0.00991073030725949,,POINT (-46.6312064 -23.5599194)
176020912,-23.5662777,-46.6369245,traffic_signals,4,0.0016849199663016008,0.03177481999387488,0.02390285031011221,0.009683946932610285,,POINT (-46.6369245 -23.5662777)
176021082,-23.5662856,-46.639548,,3,0.0011232799775344005,0.030052878270766293,0.010042306707158657,0.005592510702628765,,POINT (-46.639548 -23.5662856)
176021768,-23.5580742,-46.6302376,traffic_signals,4,0.0014040999719180005,0.03605269164227046,0.014274854460845952,0.01033706967265654,A-259,POINT (-46.6302376 -23.5580742)
176022448,-23.55262,-46.6274159,,3,0.0008424599831508004,0.03260133793174729,0.008782260509230798,0.0070090053719489434,,POINT (-46.6274159 -23.55262)
184038861,-23.5655349,-46.6555483,,4,0.0011232799775344005,0.02686157333073402,0.004512414485644511,0.010691617627463436,,POINT (-46.6555483 -23.5655349)
