u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,name,bridge,ref,tunnel,width,access,junction
25928961,60685472,0,936107422,True,2,primary,50,False,47.7,"LINESTRING (-46.6387749 -23.5481572, -46.6389115 -23.5482984, -46.6390938 -23.548471)",0.03259042594656152,Avenida Nove de Julho,,,,,,
25928964,7284727152,0,"[901219749, 321139487]",True,3,trunk,60,False,73.601,"LINESTRING (-46.6387877 -23.5493388, -46.6386172 -23.5496305, -46.6384466 -23.5499222)",0.006712896211841906,Avenida Vinte e Três de Maio,,,,,,
25928964,8377467363,0,"[901220297, 38508517]",True,"['1', '2']",tertiary,40,False,90.03699999999999,"LINESTRING (-46.6387877 -23.5493388, -46.6388421 -23.5495739, -46.6389264 -23.5500199, -46.6389592 -23.5501327)",0.020385305424856812,Praça da Bandeira,,,,,,
25929039,176009843,0,997426060,True,3,trunk,60,False,83.426,"LINESTRING (-46.6371573 -23.5548213, -46.6373035 -23.5551914, -46.6374775 -23.5555104)",0.00958771405657442,Avenida Vinte e Três de Maio,,,,,,
25929410,25929413,0,943943780,True,5,trunk,60,False,94.638,"LINESTRING (-46.6385024 -23.5579874, -46.6387297 -23.5586173, -46.6388079 -23.5587907)",0.01421610945654197,Avenida Vinte e Três de Maio,,,,,,
25929413,60641204,0,172433904,True,2,secondary,40,False,130.755,"LINESTRING (-46.6388079 -23.5587907, -46.6391443 -23.5591749, -46.6395684 -23.5597368)",0.013550385184641222,Rua Maestro Cardim,,,,,,
25929413,5496814869,0,524259147,True,5,trunk,60,False,193.659,"LINESTRING (-46.6388079 -23.5587907, -46.6390235 -23.5592353, -46.6391227 -23.5594074, -46.6392467 -23.5595917, -46.6393942 -23.559799, -46.6395668 -23.5600666, -46.6397175 -23.5603165)",0.0006548921481545672,Avenida Vinte e Três de Maio,,,,,,
25929414,587993,0,524487872,True,5,trunk,60,False,99.955,"LINESTRING (-46.6385968 -23.5590528, -46.6384853 -23.5587961, -46.6382561 -23.55821)",0.0016756279923741846,Avenida Vinte e Três de Maio,,,,,,
60624525,60685779,0,"[454576378, 211556988]",True,4,primary,50,False,124.206,"LINESTRING (-46.6490136 -23.5480122, -46.6486064 -23.5478778, -46.6478672 -23.5476337)",0.013618246303705802,Rua da Consolação,,,,,,
60624525,81354742,0,459033870,True,3,tertiary,,False,17.546,"LINESTRING (-46.6490136 -23.5480122, -46.6490342 -23.547932, -46.649053 -23.5478586)",0.0022503785042450692,Rua Caio Prado,,,,,,
60641012,3278570084,0,321139485,True,2,secondary,40,False,22.694000000000003,"LINESTRING (-46.6376599 -23.5523377, -46.6377037 -23.5524238, -46.6377596 -23.5525201)",0.014277464342409672,Viaduto Brigadeiro Luís Antônio,,,,,,
60641012,3278570087,0,425838713,True,,residential,40,False,73.68299999999999,"LINESTRING (-46.6376599 -23.5523377, -46.6377195 -23.5522345, -46.6377445 -23.5521924, -46.6377632 -23.5521617, -46.6377838 -23.5521175, -46.637924 -23.5517232)",0.0025717267127393006,Rua Asdrúbal Nascimento,,,,,,
60641027,60641028,0,252274190,True,6,secondary,50,False,52.545,"LINESTRING (-46.6359282 -23.5520563, -46.6355857 -23.5519457, -46.635442 -23.5518993)",0.0606479987976648,Viaduto Dona Paulina,,,,,,
60641028,60641088,0,46927934,True,2,secondary,40,False,53.358,"LINESTRING (-46.635442 -23.5518993, -46.6353811 -23.5514227)",0.03137098451003374,Praça Doutor João Mendes,,,,,,
60641028,2323782354,0,8103465,True,1,primary,40,False,64.344,"LINESTRING (-46.635442 -23.5518993, -46.6352782 -23.5519118, -46.6351037 -23.5519899, -46.6348583 -23.5520989)",0.01363897686692944,Praça Doutor João Mendes,,,,,,
60641028,60641030,0,46927935,True,5,secondary,50,False,53.03,"LINESTRING (-46.635442 -23.5518993, -46.6352117 -23.5518346, -46.6350471 -23.5517842, -46.634943 -23.5517667)",0.02636798268132876,Praça Doutor João Mendes,,,,,,
60641030,60641031,0,46892577,True,6,primary,50,False,59.059,"LINESTRING (-46.634943 -23.5517667, -46.6344161 -23.5519876)",0.02691428995303088,Praça Doutor João Mendes,,,,,,
60641030,2323782354,0,223479042,True,2,primary_link,40,False,43.997,"LINESTRING (-46.634943 -23.5517667, -46.6349763 -23.5518233, -46.6349915 -23.5518544, -46.6350039 -23.5518923, -46.6350082 -23.5519271, -46.6349985 -23.551956, -46.6349737 -23.5519873, -46.6348583 -23.5520989)",0.0040178695152393,Praça Doutor João Mendes,,,,,,
60641031,60685350,0,8103459,False,,living_street,20,True,99.535,"LINESTRING (-46.6344161 -23.5519876, -46.6340198 -23.5511695)",0.018774145026248974,Praça da Sé,,,,,,
60641031,60641034,0,46892577,True,6,primary,50,False,18.229,"LINESTRING (-46.6344161 -23.5519876, -46.6343238 -23.5520286, -46.6342543 -23.5520574)",0.008616799207001015,Praça Doutor João Mendes,,,,,,
60641034,60641038,0,46927933,True,6,primary,50,False,39.285000000000004,"LINESTRING (-46.6342543 -23.5520574, -46.6340074 -23.5521595, -46.633903 -23.5522027)",0.021930763619652224,Praça Doutor João Mendes,,,,,,
60641038,60641364,0,46927933,True,6,primary,50,False,74.49,"LINESTRING (-46.633903 -23.5522027, -46.6337883 -23.5522503, -46.6336051 -23.5523233, -46.6332336 -23.5524714)",0.01898253252185233,Praça Doutor João Mendes,,,,,,
60641038,3713156706,0,"[8103464, 425459298]",False,,living_street,,True,100.027,"LINESTRING (-46.633903 -23.5522027, -46.6338378 -23.5520607, -46.6335575 -23.5514966, -46.6335006 -23.5513823)",0.010352322217205733,Rua Onze de Agosto,,,,,,
60641043,60641048,0,134365461,True,4,primary,50,False,92.043,"LINESTRING (-46.6329267 -23.5525309, -46.6328499 -23.5523708, -46.6326378 -23.551942, -46.6325771 -23.5518192, -46.6325558 -23.5517762)",0.014943880969774757,Rua Anita Garibaldi,,,,,,
60641043,60685352,0,447117762,True,3,secondary,40,False,253.17700000000002,"LINESTRING (-46.6329267 -23.5525309, -46.6327589 -23.5525278, -46.6306088 -23.5525149, -46.630443 -23.5525158)",0.014293593831867747,Rua Tabatinguera,,,,,,
60641048,3713156706,0,22999960,False,2,living_street,20,False,105.798,"LINESTRING (-46.6325558 -23.5517762, -46.6326508 -23.5517366, -46.6330578 -23.5515669, -46.6335006 -23.5513823)",0.0031699110729956604,Praça Clóvis Beviláqua,,,,10,,
60641048,60641052,0,"[943037800, 134365461]",True,4,primary,50,False,159.53,"LINESTRING (-46.6325558 -23.5517762, -46.6325361 -23.5517365, -46.6324767 -23.5516163, -46.6323831 -23.5514271, -46.6321931 -23.551043, -46.6320422 -23.5507425, -46.6320109 -23.5506745, -46.6319095 -23.5504696)",0.04560627434509954,Rua Anita Garibaldi,,,,,,
60641052,2396502011,0,"[8579128, 647497032, 425691399]",True,"['4', '2']",primary,40,False,108.277,"LINESTRING (-46.6319095 -23.5504696, -46.6318677 -23.5504285, -46.6318231 -23.55039, -46.631782 -23.5503587, -46.6317391 -23.5503295, -46.6315708 -23.5502441, -46.630988 -23.5500007)",0.03395252324616727,Avenida Rangel Pestana,,,,,,
60641052,60641101,0,"[513951450, 211556997]",True,2,secondary,"['50', '40']",False,123.267,"LINESTRING (-46.6319095 -23.5504696, -46.6318796 -23.5503427, -46.6318784 -23.5502173, -46.6319519 -23.5498556, -46.6320637 -23.5494765, -46.6320901 -23.549387)",0.011642918975186031,"['Rua Roberto Simonsen', 'Praça Clóvis Beviláqua']",,,,,,
60641086,10253168505,0,48802851,True,1,residential,40,False,70.11399999999999,"LINESTRING (-46.6354804 -23.5511669, -46.6354561 -23.5510897, -46.635319 -23.5506436, -46.6352934 -23.5505601)",0.0004727276353611412,Rua Quintino Bocaiuva,,,,,,
60641086,3312393273,0,425455982,True,2,secondary,40,False,142.262,"LINESTRING (-46.6354804 -23.5511669, -46.6355836 -23.5511252, -46.6366235 -23.5506657, -46.6367399 -23.5506159)",0.0316491379733732,Rua Riachuelo,,,,,,
60641088,60641086,0,519155193,True,2,secondary,40,False,31.886000000000003,"LINESTRING (-46.6353811 -23.5514227, -46.6353819 -23.5513331, -46.6353913 -23.5512718, -46.6354067 -23.5512402, -46.6354349 -23.5512019, -46.6354804 -23.5511669)",0.03213269773248052,Rua Riachuelo,,,,,,
60641089,4249862475,0,23013102,True,1,residential,40,False,87.229,"LINESTRING (-46.6336403 -23.5451434, -46.6335712 -23.5450744, -46.6332198 -23.5446833, -46.6330885 -23.544544)",0.0033332043013253585,Ladeira Porto Geral,,,,,,
60641089,3738626452,0,"[1002086273, 425691411, 933050892, 933608711]",True,"['1', '2']",secondary,40,False,102.833,"LINESTRING (-46.6336403 -23.5451434, -46.6336788 -23.5450654, -46.6338398 -23.5448057, -46.6339319 -23.5446638, -46.633987 -23.5445727, -46.6340665 -23.5444548, -46.6341015 -23.5444001, -46.6341468 -23.5443448)",0.028618026304230763,Rua Boa Vista,,,,,,
60641100,2396502031,0,8103480,True,2,secondary,40,False,75.866,"LINESTRING (-46.6322968 -23.5486338, -46.6326171 -23.5487396, -46.6329951 -23.5488698)",0.041387163557747325,Rua Floriano Peixoto,,,,,,
60641100,4903887706,0,"[425457913, 456380334]",False,,residential,,False,101.93999999999998,"LINESTRING (-46.6322968 -23.5486338, -46.6323219 -23.5485576, -46.6323475 -23.5484882, -46.6324337 -23.5482882, -46.6324469 -23.5482702, -46.632462 -23.5482606, -46.6324851 -23.5482602, -46.6325107 -23.5482687, -46.6327778 -23.5483711, -46.6329779 -23.5484477)",0.0006544408096651429,Largo Pátio do Colégio,,,,,,
60641101,60641100,0,204071640,True,2,secondary,40,False,86.363,"LINESTRING (-46.6320901 -23.549387, -46.6321146 -23.5492994, -46.632277 -23.5487062, -46.6322968 -23.5486338)",0.04140882780523968,Rua Roberto Simonsen,,,,,,
60641101,60641102,0,425691444,True,3,primary,40,False,74.422,"LINESTRING (-46.6320901 -23.549387, -46.632193 -23.549399, -46.6328143 -23.5494719)",0.010665740068174384,Rua Venceslau Brás,,,,,,
