osmid,y,x,street_count,dc,cc,nbc,com,highway,ref,geometry
60685404,-23.5470445,-46.6381737,3,0.0020161290322580645,0.040389047281829606,0.007545550954425419,0.013086551839135483,,,POINT (-46.6381737 -23.5470445)
60685409,-23.549039,-46.640862,3,0.0020161290322580645,0.045746444462315114,0.014597971631028642,0.016863772880081136,,,POINT (-46.640862 -23.549039)
60685428,-23.5474587,-46.6380116,3,0.0020161290322580645,0.03972365561168195,0.07116529947312412,0.013251490954198914,,,POINT (-46.6380116 -23.5474587)
60685429,-23.5488779,-46.6377087,3,0.0020161290322580645,0.044169128793608216,0.0008981341450102977,0.013519891041201507,,,POINT (-46.6377087 -23.5488779)
60685431,-23.5477248,-46.6369703,3,0.0020161290322580645,0.04854233991024896,0.021722031289882104,0.01357582502033062,,,POINT (-46.6369703 -23.5477248)
60685446,-23.5491038,-46.6379772,3,0.0020161290322580645,0.04359943316796862,0.0024518680157197877,0.013547499075977845,,,POINT (-46.6379772 -23.5491038)
60685465,-23.5485877,-46.6386352,3,0.0020161290322580645,0.0414215065111259,0.04080033180074488,0.013908507708759656,,,POINT (-46.6386352 -23.5485877)
60685472,-23.548471,-46.6390938,3,0.0020161290322580645,0.040380967394687974,0.031978938714753664,0.012782344065260423,,,POINT (-46.6390938 -23.548471)
60685476,-23.5484984,-46.6403711,4,0.0033602150537634413,0.04702377629484581,0.027737547178665667,0.02637830574677468,traffic_signals,,POINT (-46.6403711 -23.5484984)
60685613,-23.5448939,-46.6387906,3,0.0020161290322580645,0.04313228212422623,0.016402191826551574,0.0149669784737501,,,POINT (-46.6387906 -23.5448939)
60685619,-23.5423589,-46.6402358,4,0.002688172043010753,0.043982146240040064,0.034257299973259096,0.022606009531426764,traffic_signals,,POINT (-46.6402358 -23.5423589)
60685620,-23.5422929,-46.6403522,4,0.002688172043010753,0.043063924601735,0.025152605586393862,0.024311721652779526,traffic_signals,,POINT (-46.6403522 -23.5422929)
60685622,-23.5427306,-46.6383847,3,0.0020161290322580645,0.04397256496771316,0.025664579920482385,0.018485103650567897,,,POINT (-46.6383847 -23.5427306)
60685624,-23.5424634,-46.6379555,4,0.002688172043010753,0.04127750957049244,0.013252708845418163,0.03235068926030278,traffic_signals,,POINT (-46.6379555 -23.5424634)
60685633,-23.5417084,-46.6367287,5,0.0033602150537634413,0.041937861513342244,0.021041796940610775,0.03892921596133479,traffic_signals,,POINT (-46.6367287 -23.5417084)
60685635,-23.5408823,-46.636466,3,0.0020161290322580645,0.043052115481643116,0.0063206429265218285,0.025790205410922484,traffic_signals,,POINT (-46.636466 -23.5408823)
60685636,-23.5399767,-46.6362899,4,0.002688172043010753,0.04123414451535083,0.006309796233678475,0.027991517357310074,,,POINT (-46.6362899 -23.5399767)
60685647,-23.5404993,-46.6376895,4,0.002688172043010753,0.038798682797175216,0.015428242800215783,0.03619492833740448,traffic_signals,,POINT (-46.6376895 -23.5404993)
60685648,-23.5403957,-46.6377642,4,0.002688172043010753,0.03961229128420316,0.020589257466834647,0.03531638947618615,traffic_signals,,POINT (-46.6377642 -23.5403957)
60685649,-23.5396931,-46.6382755,4,0.002688172043010753,0.040390201815382526,0.021029238339949484,0.0355973123159126,traffic_signals,,POINT (-46.6382755 -23.5396931)
60685651,-23.5398622,-46.6367038,4,0.002688172043010753,0.038895874421436584,0.0035260552560719533,0.03196109965705854,traffic_signals,,POINT (-46.6367038 -23.5398622)
60685686,-23.5395181,-46.6363332,3,0.0020161290322580645,0.038765684383865864,0.0035805610931268616,0.02251806165751368,,,POINT (-46.6363332 -23.5395181)
60685693,-23.541116,-46.6388756,4,0.002688172043010753,0.04137905028575063,0.014473618600078508,0.03493687753471687,traffic_signals,,POINT (-46.6388756 -23.541116)
60685696,-23.5412184,-46.639009,4,0.002688172043010753,0.04058743659286838,0.036212216642937244,0.031041699814228677,traffic_signals,,POINT (-46.639009 -23.5412184)
