osmid,y,x,highway,street_count,dc,cc,nbc,vul,com,eff,ref,geometry
3370650788,-23.2356869,-45.9082084,,3,0.0035260930888575456,0.03092960155188406,0.004965352679206191,-0.00016506677612220286,0.013592369053276855,0.06252173094359648,,POINT (-45.9082084 -23.2356869)
3370651093,-23.2287192,-45.9018477,,3,0.0028208744710860366,0.03980836863853667,0.016422258626261507,0.00011551616396223201,0.020477970798599268,0.06252173094359648,,POINT (-45.9018477 -23.2287192)
3377377265,-23.2347471,-45.8908833,,3,0.0021156558533145277,0.03339755543944583,0.002823195812740461,-3.9226649672699725e-05,0.01670769817382526,0.06252173094359648,,POINT (-45.8908833 -23.2347471)
3380085371,-23.2045989,-45.8927283,,3,0.0028208744710860366,0.03081125118038386,0.002146206755522111,0.00026601129825424804,0.014399110885370894,0.06252173094359648,,POINT (-45.8927283 -23.2045989)
3380085372,-23.2046055,-45.8926764,,3,0.0021156558533145277,0.022213668479666875,0.0003687861746813444,0.0003127940687065278,0.013963219605092675,0.06252173094359648,,POINT (-45.8926764 -23.2046055)
3380085374,-23.2040769,-45.8925328,,3,0.0021156558533145277,0.024412025536412335,0.019431940684232613,0.0007641264257914842,0.012928443750912661,0.06252173094359648,,POINT (-45.8925328 -23.2040769)
3380085375,-23.2040868,-45.8924649,,3,0.0021156558533145277,0.023835221268165858,0.024021761581981285,0.0007921253424854003,0.01353615222291855,0.06252173094359648,,POINT (-45.8924649 -23.2040868)
3382157052,-23.2355357,-45.9031872,,3,0.0021156558533145277,0.0324117206094054,0.005146191954273935,4.589598961417359e-05,0.01620382636510567,0.06252173094359648,,POINT (-45.9031872 -23.2355357)
3404104736,-23.2286038,-45.8844679,,3,0.0021156558533145277,0.035469414066303606,0.0010144823749103212,3.123081325226838e-05,0.016807673158301117,0.06252173094359648,,POINT (-45.8844679 -23.2286038)
3404109746,-23.2352203,-45.8848483,traffic_signals,4,0.004231311706629055,0.038549184517119375,0.048883639518609974,0.0021446911347327282,0.0221761155772247,0.06252173094359648,,POINT (-45.8848483 -23.2352203)
3404109747,-23.2352307,-45.8846661,traffic_signals,4,0.004231311706629055,0.03898466810013698,0.05699506679270294,0.007413261169319577,0.02063474332647556,0.06252173094359648,,POINT (-45.8846661 -23.2352307)
3405475519,-23.2284508,-45.880106,,3,0.0028208744710860366,0.040760756390103445,0.0023091404994402993,7.008623908303707e-05,0.0163021495431105,0.06252173094359648,,POINT (-45.880106 -23.2284508)
3412737778,-23.2081645,-45.8945228,turning_circle,1,0.0014104372355430183,0.033707123391591785,0.0,-0.0001427071841602392,0.006074208494838378,0.06252173094359648,,POINT (-45.8945228 -23.2081645)
3414431788,-23.2343969,-45.8847992,,3,0.0021156558533145277,0.03712825533346379,0.0031143292825235964,-8.464632542143997e-05,0.01531705227254254,0.06252173094359648,,POINT (-45.8847992 -23.2343969)
3414431789,-23.2345193,-45.8846259,,3,0.0021156558533145277,0.03611811777312846,0.0077824470401559355,0.0002589744281025143,0.013978325192401917,0.06252173094359648,,POINT (-45.8846259 -23.2345193)
3414431792,-23.2342011,-45.8847809,,3,0.0021156558533145277,0.034941701745441124,0.005305261634372462,0.00022234754372636313,0.015085177219883417,0.06252173094359648,,POINT (-45.8847809 -23.2342011)
3414433493,-23.2343248,-45.8846113,,3,0.0021156558533145277,0.037142527197901024,0.0099763654976552,0.001136406341393005,0.013426044253955478,0.06252173094359648,,POINT (-45.8846113 -23.2343248)
