osmid,y,x,street_count,dc,cc,nbc,vul,com,eff,highway,geometry
30242757,41.3896867,2.1734065,4,0.0038314176245210726,0.044657978310516475,0.03301700611402851,0.00083588030975086,0.054775752543593625,0.0734744981509805,,POINT (2.1734065 41.3896867)
30242758,41.390518,2.1745122,4,0.0038314176245210726,0.046883804755922,0.04864583024634949,0.0007819283148636122,0.05250262308123334,0.0734744981509805,,POINT (2.1745122 41.390518)
30242759,41.3913841,2.1757033,4,0.0038314176245210726,0.04308819162854083,0.02514340037938095,0.0007331288289814707,0.05361459124840099,0.0734744981509805,,POINT (2.1757033 41.3913841)
30242760,41.392227,2.1768143,4,0.0038314176245210726,0.044993502235652835,0.02146075554925118,0.0006264418890292055,0.05088570436401146,0.0734744981509805,,POINT (2.1768143 41.392227)
30242762,41.3939245,2.1790931,4,0.0038314176245210726,0.03799431930360533,0.023231846182825856,0.0005204806230112979,0.04861592664837617,0.0734744981509805,,POINT (2.1790931 41.3939245)
30242763,41.3947509,2.1802212,4,0.0038314176245210726,0.039372983938812695,0.018929408065054224,0.0003424470823594695,0.046491176882614324,0.0734744981509805,,POINT (2.1802212 41.3947509)
30242764,41.3956158,2.1813752,4,0.004789272030651341,0.032494168288151555,0.005406211356305828,0.00024936611755657694,0.03985803969199844,0.0734744981509805,,POINT (2.1813752 41.3956158)
30242766,41.3964693,2.1824618,4,0.0038314176245210726,0.035074292707150845,0.008049822424306092,-6.531456859945702e-06,0.02632374536049683,0.0734744981509805,,POINT (2.1824618 41.3964693)
30242809,41.3973476,2.1813237,4,0.0038314176245210726,0.03809949516686139,0.011093082060664405,0.00027294556444744497,0.04492173637529441,0.0734744981509805,,POINT (2.1813237 41.3973476)
30242810,41.3964956,2.1802191,4,0.0038314176245210726,0.03937693645439155,0.012576127383890847,0.00043612708318321007,0.04823251882470251,0.0734744981509805,,POINT (2.1802191 41.3964956)
30242811,41.3956217,2.1790594,4,0.0038314176245210726,0.04112101399417355,0.025966161207798284,0.000298134287617087,0.05025848172389966,0.0734744981509805,,POINT (2.1790594 41.3956217)
30242812,41.3947872,2.1779367,4,0.0038314176245210726,0.04195447376762623,0.033189295121509255,0.0007843512565862047,0.04977857960831537,0.0734744981509805,,POINT (2.1779367 41.3947872)
30242814,41.3930864,2.1756925,4,0.0038314176245210726,0.046605281588596385,0.03392213467664631,0.0007698602965090938,0.047155016148392556,0.0734744981509805,,POINT (2.1756925 41.3930864)
30242815,41.3922356,2.1745708,4,0.0038314176245210726,0.046883804755922,0.020982138399768927,0.0004896639848855733,0.050173236210055705,0.0734744981509805,,POINT (2.1745708 41.3922356)
30242816,41.391403,2.1734254,4,0.0038314176245210726,0.04822984784094694,0.04434865028772763,0.0005341268738366352,0.05164556742275367,0.0734744981509805,,POINT (2.1734254 41.391403)
30242817,41.3905252,2.1722992,4,0.0038314176245210726,0.0485011873249362,0.02416293278086707,0.0005011571886535035,0.053481224475556276,0.0734744981509805,,POINT (2.1722992 41.3905252)
30242818,41.389684,2.1711549,4,0.0038314176245210726,0.05001955527804405,0.06718009620245657,0.0012682637581727945,0.056724971163524734,0.0734744981509805,,POINT (2.1711549 41.389684)
30242864,41.3912977,2.1659743,4,0.005747126436781609,0.055134352728993107,0.04531879734385023,0.0004982296003124689,0.047736034411672686,0.0734744981509805,,POINT (2.1659743 41.3912977)
30242871,41.3975504,2.1742869,4,0.0038314176245210726,0.04322827336240043,0.025445718600937903,0.0003448679238253144,0.04564304972750787,0.0734744981509805,,POINT (2.1742869 41.3975504)
30242872,41.3983937,2.1754165,4,0.0038314176245210726,0.041695812116972784,0.024541013976909085,0.0004806641569090128,0.04891883657107876,0.0734744981509805,,POINT (2.1754165 41.3983937)
30242874,41.4001137,2.1777067,4,0.0038314176245210726,0.038622819268454255,0.019241563304293163,0.0005010962248042127,0.04749966472644389,0.0734744981509805,,POINT (2.1777067 41.4001137)
30242877,41.4014022,2.179461,3,0.0028735632183908046,0.036230855076933584,0.011850683832486572,0.00015851830820480726,0.03290757418449827,0.0734744981509805,,POINT (2.179461 41.4014022)
30242962,41.4026495,2.174301,4,0.0028735632183908046,0.0009578544061302681,0.000899079063855736,-0.00010127483282203768,0.022232294921500046,0.0734744981509805,,POINT (2.174301 41.4026495)
30242963,41.4018091,2.1754533,4,0.0038314176245210726,0.03478811161282616,0.004254412432181974,0.0002265847855600703,0.03560378016502922,0.0734744981509805,,POINT (2.1754533 41.4018091)
30242965,41.3992296,2.1788705,4,0.0038314176245210726,0.03780208668533913,0.01164849422433212,0.0004745159678623691,0.050426546719230046,0.0734744981509805,,POINT (2.1788705 41.3992296)
30242968,41.3956208,2.1835915,4,0.0028735632183908046,0.03373206797870933,0.0014080156003321933,-0.0002918235337995905,0.012750327190214865,0.0734744981509805,,POINT (2.1835915 41.3956208)
30243042,41.3788174,2.1516527,4,0.0038314176245210726,0.033955449488436755,0.009803522393483855,7.80412747376028e-06,0.035810076359736195,0.0734744981509805,traffic_signals,POINT (2.1516527 41.3788174)
30243047,41.3830833,2.1573254,4,0.0038314176245210726,0.04409322757311392,0.01899171552241776,0.0005857674240428925,0.03794589707223053,0.0734744981509805,,POINT (2.1573254 41.3830833)
30243048,41.3839348,2.1584589,4,0.0038314176245210726,0.04534720838039554,0.02503400494525109,0.0007829505618354833,0.04155964046545384,0.0734744981509805,,POINT (2.1584589 41.3839348)
30243053,41.3904103,2.1670716,4,0.005747126436781609,0.0533569138938205,0.040559984188405805,0.0010572573739897639,0.04344967151316929,0.0734744981509805,traffic_signals,POINT (2.1670716 41.3904103)
30243054,41.3915821,2.1686124,4,0.0038314176245210726,0.051827092883718236,0.04219568068060518,0.0024120320763853054,0.03980550765556306,0.0734744981509805,,POINT (2.1686124 41.3915821)
30243056,41.3932917,2.1708871,4,0.0038314176245210726,0.04710903170484855,0.02653160782326833,0.0012702389762615596,0.03722652922583362,0.0734744981509805,,POINT (2.1708871 41.3932917)
30243058,41.3950134,2.1731758,4,0.0038314176245210726,0.044911077683812854,0.023025631714870706,0.0008654970266175628,0.03956073161178575,0.0734744981509805,,POINT (2.1731758 41.3950134)
30243061,41.3975198,2.1765809,4,0.0038314176245210726,0.040297241883133494,0.011977169467687735,0.0006408500823352957,0.04320317680361808,0.0734744981509805,,POINT (2.1765809 41.3975198)
30243062,41.3983798,2.1777354,4,0.0038314176245210726,0.038302250999943506,0.012521346337047148,0.0004775157501956499,0.045595724473426455,0.0734744981509805,,POINT (2.1777354 41.3983798)
30243065,41.4018046,2.1823243,3,0.0028735632183908046,0.031175755244827644,0.002498798254162423,-0.00012726763160349092,0.028608948663147987,0.0734744981509805,,POINT (2.1823243 41.4018046)
30243115,41.4026807,2.1675563,4,0.0028735632183908046,0.04010155420849782,0.0013060860955229484,5.715166472100466e-06,0.02218804564206748,0.0734744981509805,,POINT (2.1675563 41.4026807)
30243116,41.4018319,2.1686726,4,0.0038314176245210726,0.04202189217316636,0.007671754977243956,0.0004914791885031085,0.037458630038658396,0.0734744981509805,,POINT (2.1686726 41.4018319)
30243117,41.4009829,2.1697891,4,0.0038314176245210726,0.038925608066926805,0.007813201392331355,0.0005227231027241691,0.04507676201185927,0.0734744981509805,,POINT (2.1697891 41.4009829)
30243118,41.4001131,2.170933,4,0.0038314176245210726,0.03951975744198493,0.01952826806131783,0.0004983829955085419,0.047650552189642204,0.0734744981509805,,POINT (2.170933 41.4001131)
30243120,41.3992467,2.1720454,4,0.0038314176245210726,0.04409322757311392,0.0145927224826642,0.0003405504450870209,0.05014254028844054,0.0734744981509805,,POINT (2.1720454 41.3992467)
30243124,41.3930747,2.1801984,4,0.0038314176245210726,0.036601040635478345,0.026701872403632185,0.001070293828278845,0.042545168061915925,0.0734744981509805,,POINT (2.1801984 41.3930747)
30243125,41.3922278,2.1813212,4,0.005747126436781609,0.03419969070059039,0.02123109360535554,0.0002558181545869609,0.029909219712376183,0.0734744981509805,,POINT (2.1813212 41.3922278)
30243126,41.3914049,2.1823876,4,0.0038314176245210726,0.0328520395720621,0.009601625199866345,-6.703390434628688e-05,0.025770793911470125,0.0734744981509805,,POINT (2.1823876 41.3914049)
30243127,41.3905976,2.1834549,4,0.0019157088122605363,0.02917683371693108,0.00709456603636192,-0.00032131216872297643,0.014599029956823653,0.0734744981509805,,POINT (2.1834549 41.3905976)
30243129,41.3966726,2.1754464,4,0.0038314176245210726,0.041495118215425945,0.01160376122831344,0.0005972179739740542,0.040384558193051937,0.0734744981509805,,POINT (2.1754464 41.3966726)
30243159,41.4026545,2.1697614,4,0.0028735632183908046,0.038341562239423435,0.00747046164353761,0.0014671876609057303,0.019661710785575798,0.0734744981509805,,POINT (2.1697614 41.4026545)
30243160,41.4018054,2.1708861,4,0.0038314176245210726,0.03733790419212998,0.00908045574643073,0.0003871094833284849,0.03510248578414352,0.0734744981509805,,POINT (2.1708861 41.4018054)
30243161,41.4009383,2.17203,4,0.0038314176245210726,0.036660904947934156,0.01034286449671018,0.0003010252697389967,0.04071883747646818,0.0734744981509805,,POINT (2.17203 41.4009383)
30243163,41.3992399,2.1742882,4,0.0038314176245210726,0.03981257066637112,0.015007897670812119,0.0006008862240198353,0.051734538128670765,0.0734744981509805,,POINT (2.1742882 41.3992399)
30243166,41.3939231,2.1812974,4,0.0038314176245210726,0.03768948858903881,0.011366481341167363,0.0005774076031741617,0.03787038002756575,0.0734744981509805,,POINT (2.1812974 41.3939231)
30243203,41.4026883,2.1630123,4,0.0028735632183908046,0.0009578544061302681,0.00011486118786016297,0.0010843562606072583,0.021077487105441068,0.0734744981509805,,POINT (2.1630123 41.4026883)
30243205,41.400125,2.1663833,4,0.0038314176245210726,0.044785448705876744,0.03508606640089561,0.0005225994262015914,0.05169386870118,0.0734744981509805,,POINT (2.1663833 41.400125)
30243206,41.3992826,2.1675133,4,0.0038314176245210726,0.04461987856790143,0.04559825797742875,0.0007713032760044036,0.0558154825663818,0.0734744981509805,,POINT (2.1675133 41.3992826)
30243208,41.3984263,2.1686574,4,0.0038314176245210726,0.0442798840086269,0.036277836431391965,0.0010735323060565257,0.04402346204014345,0.0734744981509805,,POINT (2.1686574 41.3984263)
30243209,41.3975689,2.1697923,4,0.0038314176245210726,0.04719972955783905,0.04137170711702696,0.0011613066944549703,0.041753173115609735,0.0734744981509805,,POINT (2.1697923 41.3975689)
30243210,41.3967155,2.1709222,4,0.0038314176245210726,0.046866999520929736,0.034569360754964834,0.0014691446165925072,0.03929672894449385,0.0734744981509805,,POINT (2.1709222 41.3967155)
30243211,41.3939252,2.1745969,3,0.0028735632183908046,0.04848320282929627,0.015700730297877108,0.0005162090238781929,0.03771277997570817,0.0734744981509805,,POINT (2.1745969 41.3939252)
30243212,41.3913622,2.1779376,4,0.0038314176245210726,0.043036189861256395,0.02018500829803175,0.0008284418116557696,0.049944326622208914,0.0734744981509805,,POINT (2.1779376 41.3913622)
30243213,41.3910387,2.1783339,3,0.0028735632183908046,0.04112316952250578,0.007117255779220322,0.0004561982973493329,0.038025634333022314,0.0734744981509805,traffic_signals,POINT (2.1783339 41.3910387)
30243244,41.4000991,2.1640891,4,0.0038314176245210726,0.044785448705876744,0.03030306519286948,0.00091898309226698,0.043417760472862735,0.0734744981509805,,POINT (2.1640891 41.4000991)
30243245,41.3992808,2.1652568,4,0.0038314176245210726,0.046917451407262896,0.05296509737902968,0.0007170001011902002,0.05581821617366785,0.0734744981509805,,POINT (2.1652568 41.3992808)
30243250,41.3931923,2.1733002,3,0.0028735632183908046,0.04785620112126169,0.028465578816481898,0.0004224301862703324,0.036820255859008576,0.0734744981509805,,POINT (2.1733002 41.3931923)
