osmid,y,x,street_count,dc,cc,nbc,vul,geometry
206121872,-15.7933729,-47.8520825,3,0.007936507936507936,0.02715353480171836,2.235265654748756e-05,-0.0009407425244903966,POINT (-47.8520825 -15.7933729)
206121902,-15.7959779,-47.8521283,3,0.003968253968253968,0.02387016029862258,0.0,-0.0012509509569429106,POINT (-47.8521283 -15.7959779)
206121903,-15.7931699,-47.852528,4,0.011904761904761904,0.027931985763670113,0.00034224837192744047,-0.0006759305822553932,POINT (-47.852528 -15.7931699)
206121916,-15.7925097,-47.8520552,3,0.003968253968253968,0.027878813631341887,0.0,-0.0012442704210832375,POINT (-47.8520552 -15.7925097)
206121921,-15.7920485,-47.8530433,3,0.011904761904761904,0.030364316259094023,0.005955252369623335,-9.29703521192681e-05,POINT (-47.8530433 -15.7920485)
206121922,-15.7916819,-47.8528431,3,0.007936507936507936,0.031199178293246595,0.0029513946849221095,-0.000709600863414952,POINT (-47.8528431 -15.7916819)
251971518,-15.7859701,-47.8814301,3,0.001984126984126984,0.0,0.0,-0.0012786248741522342,POINT (-47.8814301 -15.7859701)
322871661,-15.798182,-47.8526218,3,0.003968253968253968,0.04927090057434166,0.0,0.00044985721580494993,POINT (-47.8526218 -15.798182)
354715892,-15.8136438,-47.8678544,3,0.003968253968253968,0.0,0.0,-0.000793115524319527,POINT (-47.8678544 -15.8136438)
354715948,-15.8133274,-47.8679949,3,0.005952380952380952,0.03305189767563701,0.004410667514189241,0.000962413306615988,POINT (-47.8679949 -15.8133274)
354715966,-15.8137054,-47.8687875,3,0.005952380952380952,0.03197835940927036,0.004363332476794562,0.000434653642565666,POINT (-47.8687875 -15.8137054)
364115575,-15.8121081,-47.881096,3,0.005952380952380952,0.03382725979088041,0.001869733977089842,0.0014278600539035682,POINT (-47.881096 -15.8121081)
364115578,-15.812576,-47.8805222,3,0.007936507936507936,0.03504920029488125,0.009403894095743002,0.0043692628134130804,POINT (-47.8805222 -15.812576)
364115580,-15.8129738,-47.8803465,3,0.005952380952380952,0.033839472679822166,0.0,-0.001103011291580553,POINT (-47.8803465 -15.8129738)
364115770,-15.8089221,-47.8789839,3,0.011904761904761904,0.03919729484299574,0.054811080606309244,0.026279028108293315,POINT (-47.8789839 -15.8089221)
365857449,-15.8062692,-47.8752283,3,0.007936507936507936,0.03679092927797591,0.012733388031598769,0.0017560509455308829,POINT (-47.8752283 -15.8062692)
365857746,-15.8020108,-47.8712796,3,0.007936507936507936,0.04452240710078446,0.014060929209324535,0.0007843969824610264,POINT (-47.8712796 -15.8020108)
365857794,-15.8006364,-47.8708206,3,0.011904761904761904,0.04627200406228842,0.14081076654209304,0.00623716825462243,POINT (-47.8708206 -15.8006364)
365858124,-15.8024431,-47.8699253,3,0.007936507936507936,0.0424072805305273,0.02438312303052432,0.0016100569286547706,POINT (-47.8699253 -15.8024431)
365858153,-15.8027537,-47.8700394,4,0.011904761904761904,0.041308317068563874,0.035124344635137035,0.005066066797743996,POINT (-47.8700394 -15.8027537)
